member_name,party,state,district,chamber,committee,pct_dc_kstreet,amt_dc_kstreet,total_itemized_amount
Linda Sanchez,D,CA,38.0,house,house_ways_and_means,41.14,42227,102632
Terri Sewell,D,AL,7.0,house,house_ways_and_means,30.52,30810,100945
Don Beyer,D,VA,8.0,house,house_ways_and_means,18.07,108540,600819
Chuck Grassley,R,IA,,senate,senate_finance,13.3,7000,52638
Stacey Plaskett,D,VI,0.0,house,house_ways_and_means,12.82,14250,111150
Lloyd Smucker,R,PA,11.0,house,house_ways_and_means,12.38,9500,76760
Jimmy Gomez,D,CA,34.0,house,house_ways_and_means,10.73,34100,317745
Gwen Moore,D,WI,4.0,house,house_ways_and_means,10.14,22274,219763
Mark Warner,D,VA,,senate,senate_finance,10.0,418700,4185595
Tina Smith,D,MN,,senate,senate_finance,9.4,9200,97899
John Barrasso,R,WY,,senate,senate_finance,9.08,23350,257225
Darin LaHood,R,IL,16.0,house,house_ways_and_means,8.82,40800,462721
Steven Horsford,D,NV,4.0,house,house_ways_and_means,8.81,45436,516012
Richard Neal,D,MA,1.0,house,house_ways_and_means,8.64,15500,179350
Ron Estes,R,KS,4.0,house,house_ways_and_means,8.52,10001,117400
Maggie Hassan,D,NH,,senate,senate_finance,8.49,49876,587751
Kevin Hern,R,OK,1.0,house,house_ways_and_means,8.39,21500,256135
Ben Ray Lujan,D,NM,,senate,senate_finance,7.89,55239,699736
Carol Miller,R,WV,2.0,house,house_ways_and_means,7.07,17212,243527
Aaron Bean,R,FL,4.0,house,house_ways_and_means,7.04,26750,379908
Bill Cassidy,R,LA,,senate,senate_finance,6.95,115129,1657044
Adrian Smith,R,NE,3.0,house,house_ways_and_means,6.9,16800,243592
Nathaniel Moran,R,TX,1.0,house,house_ways_and_means,6.82,11577,169865
Brendan Boyle,D,PA,2.0,house,house_ways_and_means,6.78,19935,294204
Blake Moore,R,UT,1.0,house,house_ways_and_means,5.69,31550,554911
Mike Carey,R,OH,15.0,house,house_ways_and_means,5.38,21000,390078
Catherine Cortez Masto,D,NV,,senate,senate_finance,5.28,23276,441167
Lloyd Doggett,D,TX,37.0,house,house_ways_and_means,5.06,995,19645
Mike Thompson,D,CA,4.0,house,house_ways_and_means,4.98,28019,563151
Nicole Malliotakis,R,NY,11.0,house,house_ways_and_means,4.95,20296,410373
Rudy Yakym,R,IN,2.0,house,house_ways_and_means,4.76,28883,607260
Greg Steube,R,FL,17.0,house,house_ways_and_means,4.66,7500,161115
Mike Kelly,R,PA,16.0,house,house_ways_and_means,4.6,6750,146688
Jodey Arrington,R,TX,19.0,house,house_ways_and_means,4.52,10000,221315
Peter Welch,D,VT,,senate,senate_finance,4.51,600,13292
Maria Cantwell,D,WA,,senate,senate_finance,4.44,7000,157573
Thom Tillis,R,NC,,senate,senate_finance,4.36,152492,3495232
John Larson,D,CT,1.0,house,house_ways_and_means,3.95,19750,499653
Suzan DelBene,D,WA,1.0,house,house_ways_and_means,3.55,16050,452654
Vern Buchanan,R,FL,16.0,house,house_ways_and_means,3.54,8550,241713
Todd Young,R,IN,,senate,senate_finance,3.36,28050,834429
Roger Marshall,R,KS,,senate,senate_finance,3.35,23500,700710
Jason Smith,R,MO,8.0,house,house_ways_and_means,2.91,22425,770247
David Schweikert,R,AZ,1.0,house,house_ways_and_means,2.89,17250,597909
Claudia Tenney,R,NY,24.0,house,house_ways_and_means,2.87,10000,348962
Jimmy Panetta,D,CA,19.0,house,house_ways_and_means,2.8,15455,551113
Max Miller,R,OH,7.0,house,house_ways_and_means,2.73,10050,368501
Greg Murphy,R,NC,3.0,house,house_ways_and_means,2.65,12667,478708
Marsha Blackburn,R,TN,,senate,senate_finance,2.65,4047,152880
Beth Van Duyne,R,TX,24.0,house,house_ways_and_means,2.39,7862,328615
David Kustoff,R,TN,8.0,house,house_ways_and_means,2.27,14000,616733
Brad Schneider,D,IL,10.0,house,house_ways_and_means,2.22,18200,819186
John Thune,R,SD,,senate,senate_finance,2.17,12700,586520
Randy Feenstra,R,IA,4.0,house,house_ways_and_means,2.13,8000,376420
Sheldon Whitehouse,D,RI,,senate,senate_finance,1.95,3560,182518
Michelle Fischbach,R,MN,7.0,house,house_ways_and_means,1.79,3000,168030
Steve Daines,R,MT,,senate,senate_finance,1.78,12500,703959
Brian Fitzpatrick,R,PA,1.0,house,house_ways_and_means,1.7,13525,796777
Bernie Sanders,I,VT,,senate,senate_finance,1.23,58800,4765298
Judy Chu,D,CA,28.0,house,house_ways_and_means,1.17,3750,321099
Mike Crapo,R,ID,,senate,senate_finance,1.12,2001,178955
James Lankford,R,OK,,senate,senate_finance,1.07,2500,234018
Ron Wyden,D,OR,,senate,senate_finance,1.0,2000,199212
Raphael Warnock,D,GA,,senate,senate_finance,0.92,4986,540820
Thomas Suozzi,D,NY,3.0,house,house_ways_and_means,0.89,13400,1509443
Elizabeth Warren,D,MA,,senate,senate_finance,0.87,5201,599287
Dwight Evans,D,PA,3.0,house,house_ways_and_means,0.85,1000,117725
Tim Scott,R,SC,,senate,senate_finance,0.75,9141,1222025
Ron Johnson,R,WI,,senate,senate_finance,0.69,2833,410049
John Cornyn,R,TX,,senate,senate_finance,0.55,5500,999440
Michael Bennet,D,CO,,senate,senate_finance,0.41,340,83899
Danny Davis,D,IL,7.0,house,house_ways_and_means,0.0,0,30950
