member_name,rank,pac_cmte_id,pac_name,connected_org,total,count
Aaron Bean,1,C00797670,AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE POLITICAL ACTION COMMITTEE,,10009,3
Aaron Bean,2,C00000729,AMERICAN DENTAL ASSOCIATION POLITICAL ACTION COMMITTEE,INDIANA DENTAL PAC,10000,4
Aaron Bean,3,C00012245,UBS AMERICAS INC. POLITICAL ACTION COMMITTEE (UBS PAC),UBS AMERICAS INC.,10000,2
Aaron Bean,4,C00110338,AMERICAN CRYSTAL SUGAR COMPANY POLITICAL ACTION COMMITTEE,AMERICAN CRYSTAL SUGAR COMPAY,10000,2
Aaron Bean,5,C00089458,"NATIONAL STONE, SAND & GRAVEL ASSOCIATION ROCKPAC","NATIONAL STONE, SAND AND GRAVEL ASSOCIATION",10000,4
Aaron Bean,6,C00158881,NEW YORK LIFE INSURANCE COMPANY POLITICAL ACTION COMMITTEE,NEW YORK LIFE INSURANCE COMPANY,10000,4
Aaron Bean,7,C00163832,CSX CORPORATION GOOD GOVERNMENT FUND,CSX CORPORATION,10000,5
Aaron Bean,8,C00238725,NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION PAC,NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION,10000,6
Aaron Bean,9,C00040998,NATIONAL AUTOMOBILE DEALERS ASSOCIATION POLITICAL ACTION COMMITTEE,NATIONAL AUTOMOBILE DEALERS ASSOCIATION,10000,2
Aaron Bean,10,C00267849,ALLIED PILOTS ASSOCIATION POLITICAL ACTION COMMITTEE,,10000,6
Aaron Bean,11,C00284885,THE HOME DEPOT INC. POLITICAL ACTION COMMITTEE,THE HOME DEPOT INC.,10000,3
Aaron Bean,12,C00106146,AMERICAN HOSPITAL ASSOCIATION PAC,AMERICAN HOSPITAL ASSOCIATION,10000,4
Aaron Bean,13,C00030718,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,NATIONAL ASSOCIATION OF REALTORS,10000,3
Aaron Bean,14,C00428052,MAJORITY COMMITTEE PAC--MC PAC,MCCARTHY VICTORY FUND,10000,2
