pac_cmte_id,pac_name,total_given,num_recipients,recipients,r_total,d_total,connected_org,cmte_type,cmte_designation
C00147066,AMERICAN COUNCIL OF LIFE INSURERS POLITICAL ACTION COMMITTEE,327500,58,"Aaron Bean, Adrian Smith, Beth Van Duyne, Bill Cassidy, Blake Moore, Brad Schneider, Brendan Boyle, Brian Fitzpatrick, Carol Miller, Claudia Tenney, Danny Davis, Darin LaHood, David Kustoff, David Schweikert, Don Beyer, Dwight Evans, Greg Murphy, Greg Steube, Gwen Moore, James Lankford, Jason Smith, Jimmy Gomez, Jimmy Panetta, Jodey Arrington, John Barrasso, John Cornyn, John Larson, John Thune, Judy Chu, Kevin Hern, Linda Sanchez, Lloyd Smucker, Maggie Hassan, Mark Warner, Marsha Blackburn, Michelle Fischbach, Mike Carey, Mike Crapo, Mike Kelly, Mike Thompson, Nicole Malliotakis, Randy Feenstra, Raphael Warnock, Richard Neal, Ron Estes, Ron Johnson, Ron Wyden, Stacey Plaskett, Steve Daines, Steven Horsford, Suzan DelBene, Terri Sewell, Thom Tillis, Thomas Suozzi, Tim Scott, Tina Smith, Todd Young, Vern Buchanan",184000,143500,AMERICAN COUNCIL OF LIFE INSURERS,Q,B
C00109017,AT&T INC. EMPLOYEE FEDERAL POLITICAL ACTION COMMITTEE (AT&T EMPLOYEE FEDERAL PAC),324000,56,"Aaron Bean, Adrian Smith, Beth Van Duyne, Bill Cassidy, Blake Moore, Brad Schneider, Brendan Boyle, Brian Fitzpatrick, Carol Miller, Catherine Cortez Masto, Claudia Tenney, Danny Davis, Darin LaHood, David Kustoff, Don Beyer, Dwight Evans, Greg Steube, Gwen Moore, Jason Smith, Jimmy Gomez, Jimmy Panetta, Jodey Arrington, John Barrasso, John Larson, John Thune, Judy Chu, Kevin Hern, Linda Sanchez, Lloyd Doggett, Lloyd Smucker, Maggie Hassan, Mark Warner, Marsha Blackburn, Max Miller, Michelle Fischbach, Mike Carey, Mike Thompson, Nathaniel Moran, Nicole Malliotakis, Randy Feenstra, Richard Neal, Ron Estes, Ron Johnson, Ron Wyden, Rudy Yakym, Stacey Plaskett, Steve Daines, Steven Horsford, Suzan DelBene, Terri Sewell, Thom Tillis, Thomas Suozzi, Tim Scott, Tina Smith, Todd Young, Vern Buchanan",191500,132500,AT&T INC.,Q,B
C00186288,"VERIZON COMMUNICATIONS, INC. POLITICAL ACTION COMMITTEE (VERIZON PAC)",223000,54,"Aaron Bean, Adrian Smith, Beth Van Duyne, Blake Moore, Brad Schneider, Brendan Boyle, Brian Fitzpatrick, Carol Miller, Catherine Cortez Masto, Claudia Tenney, Danny Davis, Darin LaHood, David Kustoff, David Schweikert, Don Beyer, Dwight Evans, Greg Murphy, Greg Steube, Gwen Moore, Jason Smith, Jimmy Gomez, Jimmy Panetta, Jodey Arrington, John Barrasso, John Cornyn, John Larson, Judy Chu, Kevin Hern, Linda Sanchez, Lloyd Doggett, Lloyd Smucker, Maggie Hassan, Mark Warner, Marsha Blackburn, Max Miller, Michelle Fischbach, Mike Carey, Mike Kelly, Mike Thompson, Nathaniel Moran, Nicole Malliotakis, Randy Feenstra, Richard Neal, Ron Estes, Ron Wyden, Rudy Yakym, Stacey Plaskett, Steve Daines, Steven Horsford, Suzan DelBene, Terri Sewell, Thomas Suozzi, Tina Smith, Vern Buchanan",129500,93500,,Q,B
C00106146,AMERICAN HOSPITAL ASSOCIATION PAC,487522,52,"Aaron Bean, Adrian Smith, Ben Ray Lujan, Beth Van Duyne, Bill Cassidy, Blake Moore, Brad Schneider, Brendan Boyle, Brian Fitzpatrick, Carol Miller, Chuck Grassley, Claudia Tenney, Danny Davis, Darin LaHood, David Kustoff, David Schweikert, Don Beyer, Dwight Evans, Greg Murphy, Greg Steube, Gwen Moore, James Lankford, Jason Smith, Jimmy Gomez, Jimmy Panetta, Jodey Arrington, John Barrasso, John Larson, Judy Chu, Kevin Hern, Linda Sanchez, Lloyd Doggett, Lloyd Smucker, Marsha Blackburn, Michelle Fischbach, Mike Crapo, Mike Kelly, Mike Thompson, Nathaniel Moran, Nicole Malliotakis, Randy Feenstra, Richard Neal, Ron Johnson, Rudy Yakym, Sheldon Whitehouse, Steve Daines, Steven Horsford, Suzan DelBene, Terri Sewell, Thom Tillis, Thomas Suozzi, Vern Buchanan",330022,157500,AMERICAN HOSPITAL ASSOCIATION,Q,B
C00283135,NATIONAL ASSOCIATION OF BENEFITS AND INSURANCE PROFESSIONALS PAC (NABIP PAC),172000,52,"Aaron Bean, Adrian Smith, Beth Van Duyne, Bill Cassidy, Blake Moore, Brad Schneider, Brendan Boyle, Brian Fitzpatrick, Carol Miller, Catherine Cortez Masto, Claudia Tenney, Darin LaHood, David Kustoff, David Schweikert, Don Beyer, Greg Murphy, Greg Steube, Gwen Moore, James Lankford, Jason Smith, Jimmy Gomez, Jimmy Panetta, Jodey Arrington, John Barrasso, John Cornyn, John Larson, John Thune, Kevin Hern, Linda Sanchez, Lloyd Smucker, Mark Warner, Max Miller, Michelle Fischbach, Mike Carey, Mike Crapo, Mike Kelly, Mike Thompson, Nicole Malliotakis, Randy Feenstra, Raphael Warnock, Richard Neal, Ron Estes, Stacey Plaskett, Steve Daines, Steven Horsford, Suzan DelBene, Terri Sewell, Thom Tillis, Tim Scott, Tina Smith, Todd Young, Vern Buchanan",103000,69000,NATIONAL ASSOCIATION OF BENEFITS AND INSURANCE PROFESSIONALS,Q,B
C00127779,PRUDENTIAL FINANCIAL INC. FEDERAL POLITICAL ACTION COMMITTEE (AKA - PRUDENTIAL FEDERAL PAC),237500,52,"Aaron Bean, Beth Van Duyne, Bill Cassidy, Blake Moore, Brad Schneider, Brendan Boyle, Brian Fitzpatrick, Carol Miller, Chuck Grassley, Claudia Tenney, Danny Davis, Darin LaHood, David Kustoff, David Schweikert, Don Beyer, Dwight Evans, Greg Steube, Gwen Moore, James Lankford, Jason Smith, Jimmy Panetta, Jodey Arrington, John Barrasso, John Cornyn, John Larson, Judy Chu, Linda Sanchez, Lloyd Smucker, Maggie Hassan, Mark Warner, Marsha Blackburn, Mike Carey, Mike Crapo, Mike Kelly, Mike Thompson, Nicole Malliotakis, Randy Feenstra, Raphael Warnock, Richard Neal, Ron Estes, Rudy Yakym, Stacey Plaskett, Steve Daines, Steven Horsford, Suzan DelBene, Terri Sewell, Thom Tillis, Thomas Suozzi, Tim Scott, Tina Smith, Todd Young, Vern Buchanan",129500,108000,"PRUDENTIAL FINANCIAL, INC.",Q,B
C00303024,LOCKHEED MARTIN CORPORATION EMPLOYEES' POLITICAL ACTION COMMITTEE,209000,51,"Aaron Bean, Adrian Smith, Beth Van Duyne, Bill Cassidy, Blake Moore, Brad Schneider, Brendan Boyle, Brian Fitzpatrick, Carol Miller, Chuck Grassley, Claudia Tenney, Darin LaHood, David Kustoff, Don Beyer, Dwight Evans, Greg Murphy, Greg Steube, Gwen Moore, Jason Smith, Jimmy Gomez, Jimmy Panetta, Jodey Arrington, John Barrasso, John Cornyn, John Larson, Kevin Hern, Linda Sanchez, Lloyd Smucker, Maggie Hassan, Mark Warner, Marsha Blackburn, Michelle Fischbach, Mike Carey, Mike Crapo, Mike Kelly, Mike Thompson, Nathaniel Moran, Nicole Malliotakis, Randy Feenstra, Richard Neal, Ron Estes, Ron Wyden, Rudy Yakym, Stacey Plaskett, Steve Daines, Steven Horsford, Suzan DelBene, Terri Sewell, Thom Tillis, Tim Scott, Vern Buchanan",123000,86000,LOCKHEED MARTIN CORPORATION,Q,B
C00542365,"TOYOTA MOTOR NORTH AMERICA, INC POLITICAL ACTION COMMITTEE (TOYOTA/LEXUS PAC)",236500,50,"Aaron Bean, Adrian Smith, Ben Ray Lujan, Beth Van Duyne, Bill Cassidy, Blake Moore, Brad Schneider, Brendan Boyle, Brian Fitzpatrick, Carol Miller, Chuck Grassley, Claudia Tenney, Darin LaHood, David Kustoff, David Schweikert, Don Beyer, Greg Murphy, Greg Steube, Jason Smith, Jimmy Gomez, Jimmy Panetta, Jodey Arrington, John Barrasso, John Cornyn, John Larson, John Thune, Judy Chu, Kevin Hern, Lloyd Smucker, Maggie Hassan, Mark Warner, Marsha Blackburn, Michelle Fischbach, Mike Carey, Mike Crapo, Mike Kelly, Mike Thompson, Nicole Malliotakis, Randy Feenstra, Richard Neal, Ron Estes, Ron Wyden, Rudy Yakym, Stacey Plaskett, Steven Horsford, Suzan DelBene, Terri Sewell, Thom Tillis, Todd Young, Vern Buchanan",157500,79000,"TOYOTA MOTOR NORTH AMERICA, INC",Q,B
C00010868,AMERICAN COUNCIL OF ENGINEERING COMPANIES (ACEC/PAC),381000,50,"Aaron Bean, Adrian Smith, Ben Ray Lujan, Beth Van Duyne, Blake Moore, Brad Schneider, Brendan Boyle, Brian Fitzpatrick, Carol Miller, Claudia Tenney, Danny Davis, Darin LaHood, David Kustoff, David Schweikert, Don Beyer, Dwight Evans, Greg Murphy, Greg Steube, Jason Smith, Jimmy Gomez, Jimmy Panetta, Jodey Arrington, John Barrasso, John Larson, Judy Chu, Kevin Hern, Linda Sanchez, Lloyd Smucker, Maggie Hassan, Mark Warner, Marsha Blackburn, Michelle Fischbach, Mike Carey, Mike Crapo, Mike Kelly, Mike Thompson, Nicole Malliotakis, Randy Feenstra, Richard Neal, Ron Estes, Rudy Yakym, Stacey Plaskett, Steve Daines, Steven Horsford, Suzan DelBene, Terri Sewell, Thomas Suozzi, Tim Scott, Todd Young, Vern Buchanan",238500,142500,AMERICAN COUNCIL OF ENGINEERING COMPANIES,Q,B
C00030718,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,822538,50,"Aaron Bean, Adrian Smith, Beth Van Duyne, Blake Moore, Brad Schneider, Brendan Boyle, Brian Fitzpatrick, Carol Miller, Claudia Tenney, Danny Davis, Darin LaHood, David Kustoff, David Schweikert, Don Beyer, Dwight Evans, Greg Murphy, Greg Steube, Gwen Moore, Jason Smith, Jimmy Gomez, Jimmy Panetta, Jodey Arrington, John Barrasso, John Larson, Judy Chu, Kevin Hern, Linda Sanchez, Lloyd Doggett, Lloyd Smucker, Marsha Blackburn, Max Miller, Michelle Fischbach, Mike Carey, Mike Kelly, Mike Thompson, Nathaniel Moran, Nicole Malliotakis, Randy Feenstra, Raphael Warnock, Richard Neal, Ron Estes, Rudy Yakym, Sheldon Whitehouse, Stacey Plaskett, Steven Horsford, Suzan DelBene, Terri Sewell, Thomas Suozzi, Tina Smith, Vern Buchanan",465124,357414,NATIONAL ASSOCIATION OF REALTORS,Q,B
