name,fec_candidate_id,party,chamber,committee,first_year,transition_cycle,cycles_before,cycles_after,median_pac_before,median_pac_after,mean_pac_before,mean_pac_after,pct_change_pac,median_total_before,median_total_after,pct_change_total,median_indiv_before,median_indiv_after,flag
Don Beyer,H4VA08224,D,house,house_ways_and_means,2019,2020,3,2,757338.75,735482.5,750134.99,735482.5,-2.9,2123667.57,2035068.02,-4.2,1195223.86,1151912.2,
Dwight Evans,H6PA02171,D,house,house_ways_and_means,2019,2020,2,2,400579.03,704704.08,400579.03,704704.08,75.9,1329530.5,1059710.36,-20.3,851159.5,320462.99,
Brad Schneider,H2IL10068,D,house,house_ways_and_means,2019,2020,3,2,1124885.06,1495591.49,1035982.98,1495591.49,33.0,4843061.39,3826504.46,-21.0,2887857.9,2093343.45,
Jimmy Panetta,H6CA20152,D,house,house_ways_and_means,2019,2020,2,2,526299.91,1570927.32,526299.91,1570927.32,198.5,1337116.15,2990644.17,123.7,759621.03,1282962.42,
Jimmy Gomez,H8CA34266,D,house,house_ways_and_means,2019,2020,1,2,770876.15,1018879.89,770876.15,1018879.89,32.2,1552000.9,2011859.49,29.6,708473.59,943874.18,
Steven Horsford,H2NV04011,D,house,house_ways_and_means,2019,2020,3,2,877796.31,2378449.21,694626.99,2378449.21,171.0,1935567.76,5198730.57,168.6,687826.26,2427501.41,
Stacey Plaskett,H2VI00082,D,house,house_ways_and_means,2021,2022,4,1,182590.83,334670.41,160439.08,334670.41,83.3,361421.54,680670.67,88.3,180157.38,314268.0,limited_after_data
Thomas Suozzi,H6NY03247,D,house,house_ways_and_means,2019,2020,2,2,597332.46,1254153.62,597332.46,1254153.62,110.0,2575854.33,5810505.38,125.6,1866963.81,3615579.58,
Mike Crapo,S8ID00027,R,senate,senate_finance,2005,2006,0,6,0,754473.0,0,1132159.29,,0,1454477.48,,0,399815.04,no_before_data
Chuck Grassley,S0IA00028,R,senate,senate_finance,2001,2002,0,6,0,450751.0,0,1017330.1,,0,996117.76,,0,266197.92,no_before_data
John Cornyn,S2TX00106,R,senate,senate_finance,2013,2014,0,5,0,595022.42,0,971454.25,,0,3377426.45,,0,1195827.4,no_before_data
John Thune,S2SD00068,R,senate,senate_finance,2011,2012,0,6,0,814805.5,0,1350518.55,,0,3626151.04,,0,1214175.98,no_before_data
Tim Scott,S4SC00240,R,senate,senate_finance,2015,2016,1,4,2610033.0,752447.6,2610033.0,1291380.79,-71.2,6809517.0,14069895.02,106.6,3406832.0,6447686.06,
Bill Cassidy,S4LA00107,R,senate,senate_finance,2015,2016,1,4,1875792.0,911159.33,1875792.0,1104990.12,-51.4,15550475.0,3427523.25,-78.0,9119829.0,1673787.22,
James Lankford,S4OK00232,R,senate,senate_finance,2019,2020,3,2,1022690.0,1055351.01,814012.0,1055351.01,3.2,3041818.0,3391104.75,11.5,1564961.0,1691719.17,
Steve Daines,S2MT00096,R,senate,senate_finance,2021,2022,4,1,1206767.77,693800.0,1461123.7,693800.0,-42.5,4237166.04,1682254.18,-60.3,2053116.82,460895.94,limited_after_data
Todd Young,S6IN00191,R,senate,senate_finance,2017,2018,1,3,2228443.0,558745.0,2228443.0,1151559.41,-74.9,10698358.53,3293430.51,-69.2,6061480.0,1069569.8,
John Barrasso,S6WY00068,R,senate,senate_finance,2021,2022,4,1,418200.0,2725370.0,948953.75,2725370.0,551.7,946379.85,7761388.01,720.1,409561.49,3311645.92,limited_after_data
Ron Johnson,S0WI00197,R,senate,senate_finance,2023,2024,5,0,390550.0,0,846011.54,0,,2494902.0,0,,1613120.0,0,limited_after_data
Thom Tillis,S4NC00162,R,senate,senate_finance,2023,2024,5,0,1006948.0,0,1385464.68,0,,2389872.26,0,,1105960.75,0,limited_after_data
Marsha Blackburn,S8TN00337,R,senate,senate_finance,2023,2024,3,0,443552.05,0,1105384.41,0,,3200121.82,0,,1033350.45,0,limited_after_data
Roger Marshall,H6KS01179,R,senate,senate_finance,2025,2026,2,0,654305.24,0,654305.24,0,,1498550.38,0,,497314.51,0,limited_after_data
Ron Wyden,S6OR00110,D,senate,senate_finance,2001,2002,0,6,0,1006760.5,0,1245681.67,,0,2644704.33,,0,1085797.67,no_before_data
Maria Cantwell,S8WA00194,D,senate,senate_finance,2009,2010,0,6,0,5062.5,0,18929.58,,0,1190224.0,,0,638060.48,no_before_data
Michael Bennet,S0CO00211,D,senate,senate_finance,2013,2014,0,5,0,128950.0,0,904383.06,,0,1181527.92,,0,557939.79,no_before_data
Mark Warner,S6VA00093,D,senate,senate_finance,2015,2016,1,4,2820348.0,708450.0,2820348.0,1115612.25,-74.9,13036212.61,3635621.4,-72.1,8179576.0,1914013.56,
Sheldon Whitehouse,S6RI00221,D,senate,senate_finance,2017,2018,2,3,212256.0,156930.0,212256.0,314251.67,-26.1,772275.5,1612622.08,108.8,479295.0,1454819.48,
Maggie Hassan,S6NH00091,D,senate,senate_finance,2019,2020,2,2,519186.5,1799809.52,519186.5,1799809.52,246.7,9991756.09,19973102.65,99.9,5598896.56,11526900.76,
Catherine Cortez Masto,S6NV00200,D,senate,senate_finance,2019,2020,2,2,675127.14,1581977.42,675127.14,1581977.42,134.3,11234561.54,31922791.07,184.1,5990527.42,16841102.98,
Elizabeth Warren,S2MA00170,D,senate,senate_finance,2021,2022,4,1,48375.0,59800.0,111532.0,59800.0,23.6,6273121.74,9039537.78,44.1,2061649.93,4100299.53,limited_after_data
Bernie Sanders,S4VT00033,I,senate,senate_finance,2025,2026,6,0,31372.5,0,47746.89,0,,9484208.43,0,,2468076.38,0,limited_after_data
Tina Smith,S8MN00578,D,senate,senate_finance,2025,2026,4,0,902028.56,0,1101452.46,0,,5382594.29,0,,2649264.96,0,limited_after_data
Ben Ray Lujan,S0NM00058,D,senate,senate_finance,2025,2026,3,0,267540.0,0,594857.03,0,,1364756.27,0,,812375.14,0,limited_after_data
Raphael Warnock,S0GA00559,D,senate,senate_finance,2025,2026,3,0,714326.96,0,976709.46,0,,125359128.37,0,,57386035.2,0,limited_after_data
Peter Welch,S2VT00235,D,senate,senate_finance,2025,2026,2,0,497076.34,0,497076.34,0,,2860859.31,0,,981517.96,0,limited_after_data
