member_name,rank,employer,total,count
Jason Smith,1,GOOGLE,40250,16
Jason Smith,2,NORTHWESTERN MUTUAL,15500,13
Jason Smith,3,THE BALDWIN,13200,4
Jason Smith,4,TRIBE,11300,7
Jason Smith,5,WEBB CREEK,8333,1
Jason Smith,6,SOLANA LABS,8000,4
Jason Smith,7,DAVITA,7500,3
Jason Smith,8,TOWN & COUNTRY SUPER MARKET,7000,3
Jason Smith,9,THE ANSCHUTZ,7000,3
Jason Smith,10,SOROBAN CAPITAL,7000,3
Jason Smith,11,TIRECO,7000,3
Jason Smith,12,BLUE OWL CAPITAL,7000,5
Jason Smith,13,ARSENAL CAPITAL,7000,3
Jason Smith,14,CHARLES SCHWAB,7000,3
Jason Smith,15,SCOTTTRADE FINANCIAL,7000,3
Jason Smith,16,THE HOME DEPOT,7000,3
Vern Buchanan,1,MCIVER CLINIC,7500,4
Vern Buchanan,2,GARGIULO,7000,2
Vern Buchanan,3,SMOKY MOUNTAIN FAMILY FARMS,7000,2
Vern Buchanan,4,SARASOTA BROOKSIDE ELEMENTARY,7000,2
Vern Buchanan,5,PACIFIC TOMATE GROWERS,7000,2
Vern Buchanan,6,MOBLEY,7000,2
Vern Buchanan,7,ADVOCATE HEALTH ADVISORS,7000,2
Vern Buchanan,8,CARNIVAL CRUISE LINE,7000,2
Vern Buchanan,9,HAMLIN &,6600,2
Vern Buchanan,10,WEBB CREEK,5000,2
Vern Buchanan,11,GAMECHANGE SOLAR,5000,3
Vern Buchanan,12,BARRINTON,5000,2
Vern Buchanan,13,FINANCIAL INSURANCE,5000,2
Vern Buchanan,14,GARCIA DEVELOPMENT,5000,2
Vern Buchanan,15,LIPMAN FAMILY FARMS,5000,2
Vern Buchanan,16,FTC SOLAR,5000,2
Vern Buchanan,17,POLARIS,3500,1
Adrian Smith,1,HAWKINS CONSTRUCTION,17500,8
Adrian Smith,2,DCI,12800,11
Adrian Smith,3,WEBB CREEK,8333,4
Adrian Smith,4,ADAPTIVE CONSTRUCTION SOLUTIONS,7000,5
Adrian Smith,5,WCAS,7000,6
Adrian Smith,6,BLACKSTONE,5000,3
Adrian Smith,7,THE PETRIZZO,4500,2
Adrian Smith,8,SAMPSON CONSTRUCTION,4500,2
Adrian Smith,9,MOBLEY,4167,3
Adrian Smith,10,STATE OF NEBRASKA,3550,2
Adrian Smith,11,SID DILLON CHEVROLET,3500,1
Adrian Smith,12,MOOSTASH JOE TOURS,3500,1
Adrian Smith,13,HUB,3500,1
Adrian Smith,14,BAXTER AUTOMOTIVE,3500,1
Adrian Smith,15,GCP CAPITAL,3500,1
Adrian Smith,16,BRUNING LAW,3500,1
