member_name,rank,employer,total,count
Jimmy Gomez,15,MEBD,6600,2
Jimmy Gomez,16,MVSC,6600,2
Jimmy Gomez,17,ART ADVISORS,6600,2
Steven Horsford,1,BLACKSTONE,36300,11
Steven Horsford,2,APOLLO GLOBAL,26400,11
Steven Horsford,3,ANDREESSEN HOROWITZ,19800,6
Steven Horsford,4,ARIEL INVESTMENTS,13200,4
Steven Horsford,5,WINKLEVOSS CAPITAL,13200,4
Steven Horsford,6,MGM RESORTS,13200,4
Steven Horsford,7,THE RIVERSIDE,13200,4
Steven Horsford,8,EVERGREEN MONEY,13200,3
Steven Horsford,9,INVARIANT,12792,15
Steven Horsford,10,AREVIA POWER,10100,4
Steven Horsford,11,ROBERTI GLOBAL,10000,3
Steven Horsford,12,EMPIRE GLOBAL VENTURES,10000,4
Steven Horsford,13,NATIONAL MATERIAL,9900,3
Steven Horsford,14,JPMORGAN CHASE,9850,7
Steven Horsford,15,THEGROUP,9800,6
Steven Horsford,16,MINDSET,9580,9
Steven Horsford,17,BROWNSTEIN HYATT FARBER SCHRECK,9100,15
Stacey Plaskett,1,TYCHEROS CAPITAL,13200,3
Stacey Plaskett,2,BLOOMBERG,11900,4
Stacey Plaskett,3,THEGROUP,7600,4
Stacey Plaskett,4,KNOWLEDGE LLLP,6600,2
Stacey Plaskett,5,MARJORIE ROBERTS,6600,2
Stacey Plaskett,6,CB LORANGER COMPANIES,6600,2
Stacey Plaskett,7,35711 INVESTMENTS,5600,2
Stacey Plaskett,8,INVARIANT,4800,4
Stacey Plaskett,9,WINDWARD STRATEGIES,4500,7
Stacey Plaskett,10,HOLIDAY HOMES OF ST JOHN,4500,3
Stacey Plaskett,11,KAZAN MCCLAIN SATTERLEY & GREENWOOD,4300,2
Stacey Plaskett,12,ROCKET CENTRAL,3400,2
Stacey Plaskett,13,PRIVATE BANK VI,3300,1
Stacey Plaskett,14,JOEL H HOLT ESQ,3300,1
Stacey Plaskett,15,CADWALADER,3300,1
Stacey Plaskett,16,RATH ENTERPRISES,3300,1
Thomas Suozzi,1,PAUL WEISS RIFKIND WHARTON & GARRISON,91550,68
Thomas Suozzi,2,TEITLER & TEITLER,20800,9
Thomas Suozzi,3,GEHRY,19800,6
Thomas Suozzi,4,GLOBAL INDUSTRIAL,19800,12
Thomas Suozzi,5,BAIN CAPITAL,19800,6
Thomas Suozzi,6,THE WONDERFUL,19800,6
Thomas Suozzi,7,JPMORGAN CHASE,18500,7
Thomas Suozzi,8,OLIVIA TERIAN ART & DESIGN,16000,5
Thomas Suozzi,9,GLOBAL INFRASTRUCTURE SOLUTIONS,15000,7
Thomas Suozzi,10,CAPITOL COUNSEL,13850,17
Thomas Suozzi,11,ESTEE LAUDER COMPANIES,13200,4
Thomas Suozzi,12,TWO TREES,13200,8
Thomas Suozzi,13,GREYLOCK,13200,4
Thomas Suozzi,14,BREAKTHRU BEVERAGE,13200,4
Thomas Suozzi,15,RELATED COMPANIES,13200,4
Thomas Suozzi,16,ARBOR,12900,6
Thomas Suozzi,17,HENRY SCHEIN,12350,9
Mike Crapo,1,NEXTERA ENERGY,19000,18
Mike Crapo,2,WINGED KEEL,10500,12
Mike Crapo,3,NEXTERA,8000,8
Mike Crapo,4,CAPITAL FUNDING,6600,2
Mike Crapo,5,VILLAGEMD,6600,2
Mike Crapo,6,VETERANS UNITED HOME LOANS,6600,2
Mike Crapo,7,VETERANS UNITED,6600,2
Mike Crapo,8,SOROBAN CAPITAL,6600,2
Mike Crapo,9,DMM PROPIETA,6600,2
Mike Crapo,10,ACLI,6600,2
Mike Crapo,11,CAPITOL TAX,5500,5
Mike Crapo,12,NEXTERA ENERGY RESOURCES,5000,5
Mike Crapo,13,ROCKBRIDGE,5000,4
Mike Crapo,14,MASSMUTUAL,4300,2
Mike Crapo,15,SECURIAN FINANCIAL,3300,1
Mike Crapo,16,GENWORTH FINANCIAL,3300,1
Mike Crapo,17,STEPHENS,3300,1
Chuck Grassley,1,BLACKSTONE,6600,3
Chuck Grassley,2,ARVIG ENTERPRISES,5010,5
Chuck Grassley,3,PECK ENT,3449,8
Chuck Grassley,4,DEPARTMENT OF JUSTICE,3300,1
Chuck Grassley,5,MCKEE FOODS,3300,1
Chuck Grassley,6,THE HAWTHORNE,2500,1
Chuck Grassley,7,ANTERO,1500,2
Chuck Grassley,8,SITE DEVELOPMENT,1026,7
Chuck Grassley,9,TCK,1000,1
Chuck Grassley,10,ADAMS RESOURCES,1000,1
Chuck Grassley,11,JONATHAN PARDEE,1000,4
Chuck Grassley,12,MANATOS & MANATOS,1000,1
Chuck Grassley,13,DAVID LEE JEWELERS,850,4
Chuck Grassley,14,FIRST UNITED METHODIST CHURCH,774,23
Chuck Grassley,15,SHELBY,666,10
Chuck Grassley,16,ACG ADVOCACY,500,2
Chuck Grassley,17,THE MCKEON,500,1
John Cornyn,1,CAPITAL,22500,12
John Cornyn,2,ANDREESSEN HOROWITZ,16500,7
John Cornyn,3,BLACKSTONE,12600,5
John Cornyn,4,FIDELITY INVESTMENTS,10000,12
John Cornyn,5,THE CAPITAL,10000,5
John Cornyn,6,GOOGLE,8000,8
John Cornyn,7,ELEVANCE HEALTH,7000,7
John Cornyn,8,YANCEY BROS,6600,3
John Cornyn,9,PALANTIR,6600,3
John Cornyn,10,CUMBERLAND DEVELOPMENT,6600,3
John Cornyn,11,CULLINAN PROPERTIES,6600,6
John Cornyn,12,ELLIOTT INVESTMENT,6600,3
John Cornyn,13,CHARLES SCHWAB,6600,3
John Cornyn,14,SEAN N PARKER FOUNDATION,6600,3
John Cornyn,15,AMERICA FIRST ACTION,6600,3
John Cornyn,16,CAPITAL COMPANIES,5000,3
John Cornyn,17,THE CAPITAL COMPANIES,5000,3
John Thune,1,MARQUIS,39600,17
John Thune,2,BLACKSTONE,25100,8
John Thune,3,HDR ENGINEERING,13400,4
John Thune,4,BLUFF POINT,11600,3
John Thune,5,WCAS,10850,10
John Thune,6,GOOGLE,9000,5
John Thune,7,ROUTE ONE INVESTMENT,6600,1
John Thune,8,PAYWARD,6600,3
John Thune,9,LEFRAK ORGANIZATION,6600,2
John Thune,10,KKR,6600,2
John Thune,11,KEEWAYDIN INVESTMENTS,6600,2
John Thune,12,ELLIOTT INVESTMENT,6600,2
John Thune,13,CRESTVIEW,6600,2
John Thune,14,PALANTIR,6600,2
John Thune,15,CANDY BOMBER,6600,3
John Thune,16,SHAWN N PARKER FOUNDATION,6600,2
John Thune,17,CORECIVIC,6300,4
Tim Scott,1,GOLDMAN SACHS,79200,45
Tim Scott,2,COINBASE,36300,17
Tim Scott,3,ENTREPRENEUR,35764,253
Tim Scott,4,PENN MUTUAL,30100,37
Tim Scott,5,SABIN METAL,26400,15
Tim Scott,6,BLACKSTONE,23100,10
Tim Scott,7,ARNOLD VENTURES,19800,9
Tim Scott,8,CAPITAL,19800,9
Tim Scott,9,FEDERAL HALL POLICY ADVISORS,17700,24
Tim Scott,10,WILLIAMS JENSEN,17500,17
Tim Scott,11,MORGAN LEWIS,16632,20
Tim Scott,12,GOLDENTREE ASSET,16600,12
Tim Scott,13,GCP CAPITAL,16500,14
Tim Scott,14,STATEWIDE MINERALS,16500,6
Tim Scott,15,JW HOWARD ATTORNEYS,15700,20
Tim Scott,16,BGR,15601,13
Bill Cassidy,1,DAVITA,25250,12
Bill Cassidy,2,ANDREESSEN HOROWITZ,19800,9
Bill Cassidy,3,TEXAS ONCOLOGY,18600,14
Bill Cassidy,4,ARKANSAS UROLOGY,17000,15
Bill Cassidy,5,FLAGSHIP PIONEERING,16100,13
Bill Cassidy,6,TEXAS CRUDE ENERGY,10619,9
Bill Cassidy,7,MONTGOMERY CAPITAL,10036,12
Bill Cassidy,8,APOLLO GLOBAL,10000,4
Bill Cassidy,9,CARDINAL INVESTMENT,9906,9
Bill Cassidy,10,OBERNDORF ENTERPRISES,9900,5
Bill Cassidy,11,PALANTIR,9900,5
Bill Cassidy,12,DMM PROPRIETA,9900,1
Bill Cassidy,13,SOROBAN CAPITAL,9900,1
Bill Cassidy,14,REGENCY CENTERS,9402,15
Bill Cassidy,15,2FILLC,9106,9
Bill Cassidy,16,DEVRY UNIVERSITY,8500,15
James Lankford,1,APOLLO GLOBAL,9100,5
James Lankford,2,APOLLO,8600,4
James Lankford,3,CAROLYN ROWAN COLLECTION,6600,3
James Lankford,4,SOROBAN CAPITAL,6600,3
James Lankford,5,INTERSECT POWER,6600,6
James Lankford,6,KIDS CAPITAL,6600,3
James Lankford,7,INDIAN TRIBE,4300,2
James Lankford,8,SUMMIT PETROLEUM,4000,4
James Lankford,9,WILLIAMS & JENSEN,4000,8
James Lankford,10,THE NICKLES,3500,4
James Lankford,11,AMERICAN PROPERTY ENTERPRISES,3300,1
James Lankford,12,THE ANSCHUTZ,3300,1
James Lankford,13,FF INCOME PROPERTIES,3300,1
James Lankford,14,BANK OF COMMERCE,3300,1
James Lankford,15,CA DEPT OF TRANSPORTATION,3300,1
James Lankford,16,CONSTITUTION,3300,1
James Lankford,17,REAL LIFE PREGNANCY CENTER,3300,1
Steve Daines,1,APOLLO,18800,12
Steve Daines,2,FLORA FARMS,10000,4
Steve Daines,3,VETERANS GUARDIAN,9100,4
Steve Daines,4,CAPITOL TAX,8000,6
Steve Daines,5,SOROBAN CAPITAL,6600,3
Steve Daines,6,GENERAL ATLANTIC,6600,3
Steve Daines,7,CAROLYN ROWAN COLLECTION,6600,3
Steve Daines,8,COINBASE,6600,3
Steve Daines,9,KIDS CAPITAL,6600,3
Steve Daines,10,ELLIOTT,6600,3
Steve Daines,11,WINKLEVOSS CAPITAL,6600,6
Steve Daines,12,NORTHWESTERN MUTUAL,6000,6
Steve Daines,13,ESSENTIA HEALTH,6000,6
Steve Daines,14,AKIN GUMP,6000,11
Steve Daines,15,GOOGLE,5300,3
Steve Daines,16,C3 INDUSTRIES,5000,3
Todd Young,1,ANDREESSEN HOROWITZ,19800,7
Todd Young,2,SAGESURE,13200,6
Todd Young,3,HHQ VENTURES,7000,15
Todd Young,4,DAVITA,6600,2
Todd Young,5,SOROBAN CAPITAL,6600,3
Todd Young,6,KEY SQUARE,6600,3
Todd Young,7,SILVER POINT CAPITAL,6600,2
Todd Young,8,DMM PROPRIETA,6600,3
Todd Young,9,WILMERHALE,6600,4
Todd Young,10,CHARTWELL STRATEGY,5800,4
Todd Young,11,HOROWITZ FOUNDATION,5100,3
Todd Young,12,CLOTHIA,5100,1
Todd Young,13,FOX,5000,4
Todd Young,14,MOUNTAINDALE INVESTMENT,4800,4
Todd Young,15,LENOX ADVISORS,4000,5
Todd Young,16,MASSMUTUAL,3500,5
Todd Young,17,WELSH CARSON ANDERSON & STOWE,3300,1
John Barrasso,1,KKR,47200,15
John Barrasso,2,WCAS,25952,13
John Barrasso,3,CAPITOL COUNSEL,25741,16
John Barrasso,4,DELTA AIRLINES,25637,20
John Barrasso,5,CONSTELLATION,25553,33
John Barrasso,6,MICROSOFT,25345,11
John Barrasso,7,BLACKSTONE,22600,9
John Barrasso,8,APOLLO,21900,8
John Barrasso,9,UNITED AIRLINES,21122,15
John Barrasso,10,CONSTELLATION ENERGY,20411,25
John Barrasso,11,DISH NETWORK,20200,7
John Barrasso,12,MARNELL COMPANIES,19935,6
John Barrasso,13,CRESTVIEW,19800,6
John Barrasso,14,KIRKLAND & ELLIS,17600,11
John Barrasso,15,APS,15005,11
John Barrasso,16,ANDREESEN HOROWITZ,13200,4
Ron Johnson,1,ENTREPRENEUR,24486,521
Ron Johnson,2,SO CAL LANDSCAPE,11050,76
Ron Johnson,3,NALLC,9018,357
Ron Johnson,4,CHARLES A KLEIN,8900,147
Ron Johnson,5,DMM PROPRIETA,6600,5
Ron Johnson,6,SOROBAN CAPITAL,6600,5
Ron Johnson,7,GIC,5700,46
Ron Johnson,8,SITE DEVELOPMENT,5583,72
Ron Johnson,9,JL SOSA MD,4500,34
Ron Johnson,10,REP,4000,5
Ron Johnson,11,VAPROSHIELD,3845,38
Ron Johnson,12,FIRST UNITED METHODIST CHURCH,3729,272
Ron Johnson,13,KIRKLAND ELLIS,3300,3
Ron Johnson,14,MINERS,3300,1
Ron Johnson,15,EDWCLEVY,3300,3
Ron Johnson,16,ROCKET COMPANIES,3300,3
Thom Tillis,1,BLACKSTONE,70700,23
Thom Tillis,2,METLIFE,38400,22
Thom Tillis,3,WCAS,29000,13
Thom Tillis,4,BNY MELLON,21300,7
Thom Tillis,5,APOLLO GLOBAL,18950,11
Thom Tillis,6,BRIGHTHOUSE FINANCIAL,18850,15
Thom Tillis,7,APOLLO MGMT,17400,6
Thom Tillis,8,APOLLO,17050,11
Thom Tillis,9,FIDELITY INVESTMENTS,13000,15
Thom Tillis,10,LIBERTY,11000,5
Thom Tillis,11,SCIPHER MEDICINE,10300,6
Thom Tillis,12,SUNRISE VASCULAR,10000,4
Thom Tillis,13,APOLLO GLOBAL MGMT,8600,3
Thom Tillis,14,TARPLIN DOWNS & YOUNG,8000,4
Thom Tillis,15,NYCBS,7750,8
Thom Tillis,16,FIERCE GOVERNMENT RELATIONS,7000,6
Thom Tillis,17,BGR,6800,6
Marsha Blackburn,1,RDV,39600,12
Marsha Blackburn,2,DAVITA,23500,10
Marsha Blackburn,3,APOLLO,20000,12
Marsha Blackburn,4,APOLLO GLOBAL,19400,12
Marsha Blackburn,5,HERZOG,16500,5
Marsha Blackburn,6,LEIDOS,15600,26
Marsha Blackburn,7,AMAZON,14900,10
Marsha Blackburn,8,BGR,14000,9
Marsha Blackburn,9,ICECAP,13200,6
Marsha Blackburn,10,DISH NETWORK,13200,6
Marsha Blackburn,11,AMWAY,13200,4
Marsha Blackburn,12,MELALEUCA,13200,6
Marsha Blackburn,13,AKIN GUMP STRAUSS HAUER & FELD,10900,9
Marsha Blackburn,14,BROWNSTEIN HYATT FARBER SCHRECK,10535,13
Marsha Blackburn,15,THE NICKLES,10000,10
Marsha Blackburn,16,HANNING & BEAN ENTERPRISES,10000,3
Roger Marshall,1,PYRAMID SOUND,19800,6
Roger Marshall,2,PLEXUS CAPITAL,13200,4
Roger Marshall,3,ECCO SELECT,6607,2
Roger Marshall,4,WORLD WIDE PLUMBING,6600,1
Roger Marshall,5,GROWITZ EQUITY,6600,1
Roger Marshall,6,CRH,6600,3
Roger Marshall,7,CASH DEPOT,5000,3
Roger Marshall,8,AAPEP,4300,4
Roger Marshall,9,INVARIANT,4000,4
Roger Marshall,10,CORECIVIC,4000,4
Roger Marshall,11,THE RUSSELL,3500,2
Roger Marshall,12,BLUESTEM EQUITY,3300,1
Roger Marshall,13,NEUROLOGICAL SURGERY,3300,3
Roger Marshall,14,EAGLE PRIVATE CAPITAL,3300,4
Roger Marshall,15,VIKING NAVIGATION,3300,1
Roger Marshall,16,THE KROGER,3000,1
Ron Wyden,1,ARNOLD VENTURES,13200,4
Ron Wyden,2,ROCKET CENTRAL,6600,2
Ron Wyden,3,ANDREESSEN HOROWITZ,6600,2
Ron Wyden,4,NYMAN TURKISH,6600,2
Ron Wyden,5,WOODS AND WOODS,6600,2
Ron Wyden,6,PISCES,6600,2
Ron Wyden,7,HARMONY CAPITAL,6600,2
Ron Wyden,8,CHISHOLM CHISHOLM & KILPATRICK,6600,3
Ron Wyden,9,CITIZENS DISABILITY,6600,2
Ron Wyden,10,ROCK VENTURES,6600,2
Ron Wyden,11,WINGED KEEL,6500,9
Ron Wyden,12,ZEKELMAN INDUSTRIES,6300,4
Ron Wyden,13,PRICEWATERHOUSECOOPERS,6250,24
Ron Wyden,14,SCARINCI HOLLENBECK,6000,2
Ron Wyden,15,MULLER BOHLIN,6000,2
Ron Wyden,16,INTERSECT POWER,5800,2
Ron Wyden,17,RICCHETTI,5000,2
Maria Cantwell,1,ROYAL CARIBBEAN,52000,26
Maria Cantwell,2,DELTA AIR LINES,44450,20
Maria Cantwell,3,UNITED AIRLINES,44000,35
Maria Cantwell,4,AT&T,43100,40
Maria Cantwell,5,META,32350,13
Maria Cantwell,6,WNC &,31700,15
Maria Cantwell,7,BROWNSTEIN HYATT FARBER SCHRECK,28900,27
Maria Cantwell,8,NEXTERA ENERGY,28000,24
Maria Cantwell,9,WILLIAMS HART & BOUNDAS LAW FIRM,26400,8
Maria Cantwell,10,APOLLO GLOBAL,24400,9
Maria Cantwell,11,T-MOBILE,23145,10
Maria Cantwell,12,GOOGLE,22200,10
Maria Cantwell,13,INTEL,22033,16
Maria Cantwell,14,CLIFFORD LAW OFFICES,20350,10
Maria Cantwell,15,MICROSOFT,20166,13
Maria Cantwell,16,GREATER NEW YORK HOSPITAL ASSOCIATION,19800,6
Maria Cantwell,17,HAGAN NOLL & BOYLE,19000,6
Michael Bennet,1,PISCES,13200,4
Michael Bennet,2,1ST FINANCIAL,6600,2
Michael Bennet,3,JANE STREET,6600,2
Michael Bennet,4,FREELANCE,6600,2
Michael Bennet,5,YORK SPACE SYSTEMS,5000,4
Michael Bennet,6,AIG,3300,1
Michael Bennet,7,NEW BELGIUM BREWING,3300,1
Michael Bennet,8,DEPARTMENT OF THE AIR FORCE,3300,1
Michael Bennet,9,MONTROSE FOREST PRODUCTS,3000,2
Michael Bennet,10,PHYSICIAN,2800,48
Michael Bennet,11,CANADA LIFE REINSURANCE,2500,2
Michael Bennet,12,FOUNDATION WINDPOWER,2500,1
Michael Bennet,13,KIDS V CANCER,2500,1
Michael Bennet,14,TRIUM,2000,1
Michael Bennet,15,XENCO MEDICAL,2000,2
Michael Bennet,16,MACH VENTURES,2000,1
Michael Bennet,17,RECHARGE,2000,1
Mark Warner,1,CAPITAL,50000,20
Mark Warner,2,BLACKROCK,40000,17
Mark Warner,3,APOLLO GLOBAL,26800,9
Mark Warner,4,SIXTH STREET,23100,7
Mark Warner,5,THE BOEING,22400,31
Mark Warner,6,APOLLO,22400,8
Mark Warner,7,OAKTREE CAPITAL,19800,6
Mark Warner,8,RELATED COMPANIES,13200,4
Mark Warner,9,THE RADCLIFF COMPANIES,13200,4
Mark Warner,10,PROSPECT HOTEL ADVISORS,13200,4
Mark Warner,11,PILLSBURY,13200,2
Mark Warner,12,INSIGHT,12600,5
Mark Warner,13,APOLLO GLOBAL MANAGMENT,11600,4
Mark Warner,14,JANE STREET CAPITAL,9900,3
Mark Warner,15,DISH NETWORK,8850,5
Mark Warner,16,SIRIS CAPITAL,8300,3
Mark Warner,17,SULLIVAN & CROMWELL,8100,4
Sheldon Whitehouse,1,JANE STREET CAPITAL,13200,4
Sheldon Whitehouse,2,KOREIN TILLERY,13200,4
Sheldon Whitehouse,3,CLIFFORD LAW OFFICES,11600,5
Sheldon Whitehouse,4,BAIN CAPITAL,9500,3
Sheldon Whitehouse,5,BAUPOST,8600,3
Sheldon Whitehouse,6,INGRAM INDUSTRIES,7600,3
Sheldon Whitehouse,7,LARKSPUR MGMT,7500,18
Sheldon Whitehouse,8,GREENBERG TRAURIG,6800,6
Sheldon Whitehouse,9,MEDLEY,6600,1
Sheldon Whitehouse,10,BREAKTHROUGH ENERGY,6600,2
Sheldon Whitehouse,11,KLEINER PERKINS CAUFIELD & BYERS,6600,2
Sheldon Whitehouse,12,J CLASS,6600,2
Sheldon Whitehouse,13,WASSERMAN,6600,2
Sheldon Whitehouse,14,NEWSWEB,6600,2
Sheldon Whitehouse,15,ARIEL INVESTMENTS,6600,2
Sheldon Whitehouse,16,IDT,6600,2
Sheldon Whitehouse,17,MADISON DEARBORN,6600,2
Sheldon Whitehouse,18,SCI,6600,2
Maggie Hassan,1,ELEVANCE HEALTH,38400,21
Maggie Hassan,2,AXXESS,15000,6
Maggie Hassan,3,NHS,12400,4
Maggie Hassan,4,WINGED KEEL,10000,13
Maggie Hassan,5,THE DASCHLE,7600,3
Maggie Hassan,6,GEPHARDT GOVERNMENT AFFAIRS,7600,3
Maggie Hassan,7,BLUE CROSS BLUE SHIELD ASSOCIATION,7000,7
Maggie Hassan,8,UNITYPOINT HEALTH MERITER,6600,2
Maggie Hassan,9,NSRA,6600,2
Maggie Hassan,10,VETERANS UNITED HOME LOANS,6600,2
Maggie Hassan,11,VIVE CONCIERGE,6600,3
Maggie Hassan,12,BLACKSTONE,6600,2
Maggie Hassan,13,EPIC SYSTEMS,6600,2
Maggie Hassan,14,PATIENTRIGHTSADVOCATEORG,6600,2
Maggie Hassan,15,ARNOLD VENTURES,6600,2
Maggie Hassan,16,CITIZENS DISABILITY,6250,2
Maggie Hassan,17,NYMAN TURKISH,6250,2
Catherine Cortez Masto,1,DISABILITY PLANNERS,26400,8
Catherine Cortez Masto,2,PORTER,13200,4
Catherine Cortez Masto,3,THE PACIFIC COMPANIES,6600,2
Catherine Cortez Masto,4,QUOTIDIAN GALLERY,6600,2
Catherine Cortez Masto,5,PALANTIR,6600,2
Catherine Cortez Masto,6,CINQCARE,6600,2
Catherine Cortez Masto,7,INSURANCE BRANCH,6600,2
Catherine Cortez Masto,8,VENROCK,5500,4
Catherine Cortez Masto,9,KAISER,5355,5
Catherine Cortez Masto,10,ROCKET CENTRAL,5100,2
Catherine Cortez Masto,11,AURORA PICTURES,5000,2
Catherine Cortez Masto,12,WILSON SONSINI GOODRICH & ROSATI,5000,2
Catherine Cortez Masto,13,ROCKET COMPANIES,4950,2
Catherine Cortez Masto,14,ALLEN AND,4950,3
Catherine Cortez Masto,15,FEDERAL HOME LOAN BANK SAN FRANCISCO,4000,3
Catherine Cortez Masto,16,CARGILLE SACHER LABS,3795,58
Catherine Cortez Masto,17,NFP,3500,2
Elizabeth Warren,1,MCARTHURGLEN,13200,4
Elizabeth Warren,2,SOROS FUND,6600,2
Elizabeth Warren,3,MERITAGE,6600,2
Elizabeth Warren,4,JUSTICE CATALYST LAW,6600,2
Elizabeth Warren,5,UNIVERSITY OF PENNSYLVANIA,5016,34
Elizabeth Warren,6,NVIDIA,4568,13
Elizabeth Warren,7,US NAVY,4496,65
Elizabeth Warren,8,CALCULEX,4300,2
Elizabeth Warren,9,SOUTHSIDE COMMUNITY SCHOOL,4000,6
Elizabeth Warren,10,UNIVERSITY OF CALIFORNIA,3722,88
Elizabeth Warren,11,NEWSWEB,3300,1
Elizabeth Warren,12,JOHN LONGMAID DESIGNS,3300,1
Elizabeth Warren,13,WOOL735,3300,1
Elizabeth Warren,14,INVESTOR SOLUTIONS,3300,1
Elizabeth Warren,15,GOOGLE,3173,89
Elizabeth Warren,16,UNIVERSITY OF FLORIDA,2833,3
Bernie Sanders,1,GOOGLE,13427,309
Bernie Sanders,2,TA INSTRUMENTS,13000,9
Bernie Sanders,3,APPLE,7622,259
Bernie Sanders,4,MERITAGE,6600,2
Bernie Sanders,5,NVIDIA,5589,21
Bernie Sanders,6,CUNY,4576,185
Bernie Sanders,7,UCLA,3845,134
Bernie Sanders,8,MIT,3844,85
Bernie Sanders,9,MICROSOFT,3736,141
Bernie Sanders,10,KAISER PERMANENTE,3553,159
Bernie Sanders,11,JANSSEN PHARMACEUTICALS,3510,14
Bernie Sanders,12,KOENIGSBERG &,3461,6
Bernie Sanders,13,AMAZON,3245,172
Bernie Sanders,14,KENNEDY ACCESS,3070,2
Bernie Sanders,15,WILDER'S PREPARATORY ACADEMY CHARTER S,3027,2
Bernie Sanders,16,ELLA FINANCIAL ADVISING,2900,2
Tina Smith,1,CAPITAL,35000,14
Tina Smith,2,LINKEDIN,6600,2
Tina Smith,3,ROCKET COMPANIES,6600,3
Tina Smith,4,PATIENTRIGHTSADVOCATEORG,6600,3
Tina Smith,5,AVENUE SOLUTIONS,5000,7
Tina Smith,6,CAPITAL RESEARCH &,5000,2
Tina Smith,7,THE CAPITAL COMPANIES,5000,2
Tina Smith,8,CAPITOL COUNSEL,4500,5
Tina Smith,9,HOLLAND & KNIGHT,3500,3
Tina Smith,10,LAB TO LAND INSTITUTE,3300,1
Tina Smith,11,THE ACCOUNTABILITY BOARD,3300,1
Tina Smith,12,CARMEL-BY-THE-SEA,3300,1
Tina Smith,13,ROCKET MORTGAGE,3300,2
Tina Smith,14,JANE STREET CAPITAL,3300,1
Tina Smith,15,JACKSON FAMILY WINES,3300,1
Tina Smith,16,EMERGENT STRATEGIES,2900,2
Ben Ray Lujan,1,GARCIA HAMILTON &,20500,9
Ben Ray Lujan,2,CHARTER COMMUNICATIONS,18500,9
Ben Ray Lujan,3,ANDREESSEN HOROWITZ,9900,3
Ben Ray Lujan,4,ADVOCATE HEALTH ADVISORS,7500,4
Ben Ray Lujan,5,PSQ,6600,2
Ben Ray Lujan,6,GFP REAL ESTATE,6600,2
Ben Ray Lujan,7,ARDELYX,6300,5
Ben Ray Lujan,8,HISPANIOLA MEDICAL CARE,6000,2
Ben Ray Lujan,9,TUSK STRATEGIES,6000,5
Ben Ray Lujan,10,INTERSECT POWER,5800,2
Ben Ray Lujan,11,MCS CENTRO DE SERVICIO HATO REY,5300,5
Ben Ray Lujan,12,GOODWIN PROCTER,5000,2
Ben Ray Lujan,13,BUENA VISTA HOSPICE,5000,3
Ben Ray Lujan,14,PCCA,4500,3
Ben Ray Lujan,15,AT&T,4500,4
Ben Ray Lujan,16,EMMER,4000,5
Ben Ray Lujan,17,NATIONAL ASSOCIATION OF BROADCASTERS,3895,5
Raphael Warnock,1,DAVITA,12660,40
Raphael Warnock,2,GOOGLE,8327,203
Raphael Warnock,3,GLOBAL GREEN USA,7660,95
Raphael Warnock,4,VETERANS UNITED HOME LOANS,6600,2
Raphael Warnock,5,THE BROE,6600,2
Raphael Warnock,6,MICROSOFT,5217,128
Raphael Warnock,7,ACTUM,4950,2
Raphael Warnock,8,TUFTS UNIVERSITY,4100,41
Raphael Warnock,9,COLGATE DIVINITY SCHOOL,3631,73
Raphael Warnock,10,BROE,3400,2
Raphael Warnock,11,MERCURY PUBLIC AFFAIRS,3300,1
Raphael Warnock,12,PASA ALTA MANOR,3300,1
Raphael Warnock,13,AMROCK,3300,1
Raphael Warnock,14,ROCK VENTURES,3300,1
Raphael Warnock,15,TRES ES,3300,1
Raphael Warnock,16,ELEMENO HEALTH,3300,1
Raphael Warnock,17,MERCURY,3300,1
Peter Welch,1,THE OLD MOUNTAIN,3300,1
Peter Welch,2,WEST FRONT STRATEGIES,2500,1
Peter Welch,3,WMC HOLDINGSINC,2000,1
Peter Welch,4,MINILEC SERVICE,2000,1
Peter Welch,5,WARNER MUSIC,1250,2
Peter Welch,6,MACHINE INTELLIGENCE RESEARCH INSTITUT,1000,1
Peter Welch,7,WMG,750,1
Peter Welch,8,EMPIRE,500,1
Peter Welch,9,MARYLAND,500,1
Peter Welch,10,GOOGLE,500,1
Peter Welch,11,FEDERAL STREET STRATEGIES,500,1
Peter Welch,12,WINN STRATEGIES,500,1
Peter Welch,13,AMERICAN INSTITUTE OF CPAS,500,2
Peter Welch,14,ENDEAVOR BIOMEDICINES,277,1
