member_name,party,state,district,chamber,committee,role,is_territorial,total_itemized_amount,total_contribution_count,amt_in_district,pct_in_district,count_in_district,amt_in_state_out_district,pct_in_state_out_district,count_in_state_out_district,amt_in_state,pct_in_state,count_in_state,amt_dc_kstreet,pct_dc_kstreet,count_dc_kstreet,amt_out_of_state,pct_out_of_state,count_out_of_state,amt_unknown,pct_unknown,count_unknown,pct_outside,pct_in_home,avg_contribution,unique_donors_approx,top_outside_employer_1,top_outside_employer_2,top_outside_employer_3,top_outside_state_1,top_outside_state_1_amt,top_outside_state_2,top_outside_state_2_amt,top_outside_state_3,top_outside_state_3_amt,unitemized_pct,capture_rate_pct,jfc_flag,fec_total_receipts,fec_pac_contributions
Stacey Plaskett,D,VI,0.0,house,house_ways_and_means,Member,True,317446,329,0,0.0,0,94982,29.92,107,0,0.0,0,43100,13.58,44,179364,56.5,178,0,0.0,0,100.0,0.0,964.88,185,TYCHEROS CAPITAL,BLOOMBERG,THEGROUP,NY,56675,DC,39200,MD,28650,4.12,101.01,False,680670.67,334670.41
Brendan Boyle,D,PA,2.0,house,house_ways_and_means,Member,False,630438,712,6930,1.1,52,128780,20.43,161,0,0.0,0,40300,6.39,47,454428,72.08,452,0,0.0,0,98.9,1.1,885.45,536,KIRKLAND & ELLIS,ROCKET COMPANIES,THE DASCHLE,NY,103190,CA,74834,DC,39800,0.54,101.2,False,2337216.44,1112299.44
Steven Horsford,D,NV,4.0,house,house_ways_and_means,Member,False,2598960,3361,42701,1.64,238,655056,25.2,1147,0,0.0,0,224775,8.65,219,1676428,64.5,1757,0,0.0,0,98.36,1.64,773.27,1635,BLACKSTONE,APOLLO GLOBAL,ANDREESSEN HOROWITZ,CA,447529,NY,302815,DC,216675,3.33,101.48,False,5441412.69,2541047.83
Linda Sanchez,D,CA,38.0,house,house_ways_and_means,Member,False,362842,389,5955,1.64,29,139737,38.51,190,0,0.0,0,68250,18.81,51,148900,41.04,119,0,0.0,0,98.36,1.64,932.76,232,FULCRUM PUBLIC AFFAIRS,THORN RUN,CAPITOL COUNSEL,DC,68250,VA,30400,MD,24200,1.32,97.65,False,1548292.39,1153570.08
Terri Sewell,D,AL,7.0,house,house_ways_and_means,Member,False,887691,1492,20101,2.26,41,267540,30.14,625,0,0.0,0,74870,8.43,96,524180,59.05,729,1000,0.11,1,97.62,2.26,594.97,785,CHARTER BROKERAGE,GRAIL,NHS,NY,108585,DC,72670,CA,50675,2.58,99.22,False,3036770.95,2063873.95
Bernie Sanders,I,VT,,senate,senate_finance,Member,False,3416238,180703,0,0.0,0,0,0.0,0,92752,2.72,4251,26429,0.77,1288,3297057,96.51,175164,0,0.0,0,97.28,2.72,18.91,17217,GOOGLE,TA INSTRUMENTS,APPLE,CA,824972,NY,315340,WA,215271,46.78,100.44,False,8207886.33,89133.06
Mike Crapo,R,ID,,senate,senate_finance,Chair,False,297674,493,0,0.0,0,0,0.0,0,8365,2.81,38,20100,6.75,15,269209,90.44,440,0,0.0,0,97.19,2.81,603.8,203,NEXTERA ENERGY,WINGED KEEL,NEXTERA,FL,58150,TX,26402,VA,26100,,,,,
Jimmy Gomez,D,CA,34.0,house,house_ways_and_means,Member,False,1290589,1221,39200,3.04,38,645010,49.98,693,0,0.0,0,83200,6.45,114,523179,40.54,376,0,0.0,0,96.96,3.04,1056.99,873,CAPITAL,PISCES,NOT-EMPLOYED,FL,87660,NY,86197,DC,77150,1.02,101.92,False,2245652.6,946153.34
Claudia Tenney,R,NY,24.0,house,house_ways_and_means,Member,False,1100698,12928,43217,3.93,160,299913,27.25,1755,0,0.0,0,38016,3.45,86,719552,65.37,10927,0,0.0,0,96.07,3.93,85.14,1233,WEXFORD CAPITAL,POLARIS,HUBBARD BROADCASTING,VA,129056,FL,98790,TX,96616,19.69,107.93,False,2995402.57,1202564.09
Carol Miller,R,WV,2.0,house,house_ways_and_means,Member,False,571037,485,23500,4.12,18,294800,51.63,263,0,0.0,0,32124,5.63,40,220613,38.63,164,0,0.0,0,95.88,4.12,1177.4,389,SELECT MEDICAL,APEX PIPELINE,COLE AUTOMOTIVE,VA,53376,DC,30124,CA,27750,0.42,99.44,False,1751492.0,1143059.24
Steve Daines,R,MT,,senate,senate_finance,Member,False,462843,5016,0,0.0,0,0,0.0,0,24807,5.36,344,26904,5.81,30,411132,88.83,4642,0,0.0,0,94.64,5.36,92.27,652,APOLLO,FLORA FARMS,VETERANS GUARDIAN,CA,59415,FL,50856,VA,37670,7.61,100.42,False,1682254.18,693800.0
