member_name,party,state,district,chamber,committee,role,is_territorial,total_itemized_amount,total_contribution_count,amt_in_district,pct_in_district,count_in_district,amt_in_state_out_district,pct_in_state_out_district,count_in_state_out_district,amt_in_state,pct_in_state,count_in_state,amt_dc_kstreet,pct_dc_kstreet,count_dc_kstreet,amt_out_of_state,pct_out_of_state,count_out_of_state,amt_unknown,pct_unknown,count_unknown,pct_outside,pct_in_home,avg_contribution,unique_donors_approx,top_outside_employer_1,top_outside_employer_2,top_outside_employer_3,top_outside_state_1,top_outside_state_1_amt,top_outside_state_2,top_outside_state_2_amt,top_outside_state_3,top_outside_state_3_amt,unitemized_pct,capture_rate_pct,jfc_flag,fec_total_receipts,fec_pac_contributions
Richard Neal,D,MA,1.0,house,house_ways_and_means,Ranking Member,False,745005,691,46350,6.22,50,146680,19.69,152,0,0.0,0,64000,8.59,64,487975,65.5,425,0,0.0,0,93.78,6.22,1078.15,585,FIDELITY INVESTMENTS,BLACKSTONE,NFP,NY,83800,DC,63000,CA,62050,0.13,99.55,False,3285602.29,2417922.31
Brian Fitzpatrick,R,PA,1.0,house,house_ways_and_means,Member,False,2306017,2043,136092,5.9,340,166110,7.2,167,0,0.0,0,40370,1.75,55,1953345,84.71,1475,10100,0.44,6,93.66,5.9,1128.74,1151,BLACKSTONE,GREYLOCK,OAKTREE CAPITAL,NY,385735,CA,322992,TX,226754,1.08,103.66,False,6439520.45,2640117.62
John Barrasso,R,WY,,senate,senate_finance,Member,False,3310219,11023,0,0.0,0,0,0.0,0,223436,6.75,931,175975,5.32,144,2910808,87.93,9948,0,0.0,0,93.25,6.75,300.3,2651,KKR,WCAS,CAPITOL COUNSEL,NY,346867,TX,314816,CA,301545,4.36,99.96,False,7761388.01,2725370.0
Max Miller,R,OH,7.0,house,house_ways_and_means,Member,False,727835,582,79695,10.95,63,225788,31.02,175,0,0.0,0,13050,1.79,15,409302,56.24,329,0,0.0,0,89.05,10.95,1250.58,416,APOLLO GLOBAL,THE NRP,APOLLO,CA,100115,FL,95450,NY,58486,0.13,93.62,False,1989521.73,571316.57
Jason Smith,R,MO,8.0,house,house_ways_and_means,Chair,False,1756665,3188,193724,11.03,248,301662,17.17,359,0,0.0,0,65314,3.72,61,1195965,68.08,2520,0,0.0,0,88.97,11.03,551.02,1244,BLACKSTONE,HERZOG,TRIBE,NY,188591,TX,137837,CA,130254,8.07,99.99,False,6549798.75,3480068.13
Catherine Cortez Masto,D,NV,,senate,senate_finance,Member,False,1276360,23181,0,0.0,0,0,0.0,0,141530,11.09,1942,25146,1.97,209,1109684,86.94,21030,0,0.0,0,88.91,11.09,55.06,2955,DISABILITY PLANNERS,PORTER,THE PACIFIC COMPANIES,CA,274291,NY,108158,MA,54701,47.74,100.74,False,3231721.21,110020.34
Danny Davis,D,IL,7.0,house,house_ways_and_means,Member,False,317612,414,38355,12.08,73,207824,65.43,266,0,0.0,0,11250,3.54,13,60183,18.95,62,0,0.0,0,87.92,12.08,767.18,323,ROSCOE,DAMRON,PRIVATE PRACTICE,DC,11250,OR,9300,VA,7850,4.04,96.07,False,863135.13,448612.85
Raphael Warnock,D,GA,,senate,senate_finance,Member,False,2979130,67069,0,0.0,0,0,0.0,0,402565,13.51,9560,47279,1.59,800,2529286,84.9,56709,0,0.0,0,86.49,13.51,44.42,5167,DAVITA,GOOGLE,GLOBAL GREEN USA,CA,620572,NY,265570,TX,168828,36.29,146.07,False,4819907.15,87316.93
Vern Buchanan,R,FL,16.0,house,house_ways_and_means,Member,False,488845,395,72608,14.85,122,228589,46.76,126,0,0.0,0,18500,3.78,22,169148,34.6,125,0,0.0,0,85.15,14.85,1237.58,224,DERICK DERMATOLOGY,BLACKSTONE,CAPITOL COUNSEL,VA,54053,DC,18500,CO,16155,2.15,100.35,False,1824538.71,1234600.0
Jimmy Panetta,D,CA,19.0,house,house_ways_and_means,Member,False,1487740,2187,229566,15.43,520,748015,50.28,1209,0,0.0,0,42050,2.83,58,468109,31.46,400,0,0.0,0,84.57,15.43,680.27,1176,NFP,APOLLO GLOBAL,ROCKET CENTRAL,NY,66554,MA,55350,TX,48550,3.41,101.25,False,3357555.24,1770648.82
Rudy Yakym,R,IN,2.0,house,house_ways_and_means,Member,False,1080325,28242,166935,15.45,461,79982,7.4,605,0,0.0,0,18155,1.68,49,815253,75.46,27127,0,0.0,0,84.55,15.45,38.25,1627,DARYLE DODEN PERSONAL FINANCES,KIRKLAND & ELLIS,FDC GRAPHIC FILMS,FL,88961,TX,87347,MI,78650,33.93,110.59,False,3726754.51,730897.16
Maggie Hassan,D,NH,,senate,senate_finance,Member,False,1122848,8791,0,0.0,0,0,0.0,0,174809,15.57,2246,98340,8.76,129,849699,75.67,6416,0,0.0,0,84.43,15.57,127.73,1700,ELEVANCE HEALTH,AXXESS,NHS,MA,131040,DC,97390,CA,92640,,,,,
Randy Feenstra,R,IA,4.0,house,house_ways_and_means,Member,False,1523397,2839,264856,17.39,667,348212,22.86,511,0,0.0,0,45991,3.02,61,864338,56.74,1600,0,0.0,0,82.61,17.39,536.6,1404,MARQUIS,BGR,DOLL DISTRIBUTING,IL,92425,CA,90116,TX,85674,,,,,
Gwen Moore,D,WI,4.0,house,house_ways_and_means,Member,False,345033,610,63490,18.4,193,63337,18.36,134,0,0.0,0,26910,7.8,80,191296,55.44,203,0,0.0,0,81.6,18.4,565.63,240,APOLLO,INVARIANT,LEM SETTLEMENT,CA,41570,MD,36702,DC,26910,2.85,97.54,False,1356549.62,953512.21
Nicole Malliotakis,R,NY,11.0,house,house_ways_and_means,Member,False,1192614,3590,220216,18.46,1005,378805,31.76,851,0,0.0,0,30590,2.56,36,563003,47.21,1698,0,0.0,0,81.54,18.46,332.2,1198,WCAS,BLACKSTONE,APOLLO GLOBAL,FL,118911,CA,99336,NJ,73439,11.02,99.98,False,3371724.78,1265691.12
Bill Cassidy,R,LA,,senate,senate_finance,Member,False,1451213,2319,0,0.0,0,0,0.0,0,271856,18.73,455,76492,5.27,98,1102865,76.0,1766,0,0.0,0,81.27,18.73,625.79,905,DAVITA,ANDREESSEN HOROWITZ,TEXAS ONCOLOGY,TX,150342,CA,133561,VA,101914,,,,,
Adrian Smith,R,NE,3.0,house,house_ways_and_means,Member,False,447093,399,85385,19.1,115,205700,46.01,144,0,0.0,0,18500,4.14,23,137508,30.76,117,0,0.0,0,80.9,19.1,1120.53,247,HAWKINS CONSTRUCTION,SANDHILLS PUBLISHING,OAKLAND ATHLETICS,CA,38400,VA,26650,NY,19112,0.36,99.7,False,1996681.41,1457609.26
Michelle Fischbach,R,MN,7.0,house,house_ways_and_means,Member,False,570564,1367,116104,20.35,476,220247,38.6,425,0,0.0,0,18150,3.18,35,216063,37.87,431,0,0.0,0,79.65,20.35,417.38,678,MARQUIS,KING CAPITAL,STARKEY HEARING,VA,36096,TX,35892,IL,25823,13.98,100.69,False,2016031.04,1064450.0
Ben Ray Lujan,D,NM,,senate,senate_finance,Member,False,816400,10295,0,0.0,0,0,0.0,0,167012,20.46,4756,76934,9.42,165,572454,70.12,5374,0,0.0,0,79.54,20.46,79.3,1044,GARCIA HAMILTON &,CHARTER COMMUNICATIONS,ANDREESSEN HOROWITZ,TX,143689,CA,90810,DC,76934,19.03,100.5,False,1364756.27,267540.0
Peter Welch,D,VT,,senate,senate_finance,Member,False,58406,415,0,0.0,0,0,0.0,0,12443,21.3,235,5900,10.1,24,40063,68.59,156,0,0.0,0,78.7,21.3,140.74,56,THE OLD MOUNTAIN,WEST FRONT STRATEGIES,WMC HOLDINGSINC,FL,9200,NJ,7035,CA,6827,2.42,98.32,False,330882.07,43110.0
Kevin Hern,R,OK,1.0,house,house_ways_and_means,Member,False,651132,707,121248,18.62,140,69104,10.61,57,0,0.0,0,59845,9.19,61,380495,58.44,430,20440,3.14,19,78.24,18.62,920.98,479,CAPITOL TAX,BLACKSTONE,APOLLO GLOBAL,VA,89247,TX,58752,DC,57445,1.35,98.14,False,2709539.4,1520963.93
Lloyd Smucker,R,PA,11.0,house,house_ways_and_means,Member,False,290100,368,64124,22.1,151,32952,11.36,48,0,0.0,0,16250,5.6,23,176774,60.94,146,0,0.0,0,77.9,22.1,788.32,215,BLACKSTONE,LEM SETTLEMENT,SEAN N PARKER FOUNDATION,VA,45800,NY,28850,CA,21837,1.63,101.86,False,1827917.74,1052021.8
Ron Johnson,R,WI,,senate,senate_finance,Member,False,3575762,115289,0,0.0,0,0,0.0,0,810894,22.68,15810,19310,0.54,317,2745558,76.78,99162,0,0.0,0,77.32,22.68,31.02,13658,ENTREPRENEUR,SO CAL LANDSCAPE,NALLC,CA,347118,FL,314444,TX,284133,29.3,99.94,False,5374239.35,36000.0
Sheldon Whitehouse,D,RI,,senate,senate_finance,Member,False,2058014,9723,0,0.0,0,0,0.0,0,468707,22.77,2931,125367,6.09,229,1463940,71.13,6563,0,0.0,0,77.23,22.77,211.66,2398,JANE STREET CAPITAL,KOREIN TILLERY,CLIFFORD LAW OFFICES,CA,278910,MA,272718,NY,172085,0.0,76.2,False,4859870.01,738285.0
Tim Scott,R,SC,,senate,senate_finance,Member,False,11860794,131771,0,0.0,0,0,0.0,0,2751867,23.2,12134,195732,1.65,678,8913195,75.15,118959,0,0.0,0,76.8,23.2,90.01,12245,GOLDMAN SACHS,COINBASE,ENTREPRENEUR,CA,1356556,TX,996785,FL,849728,34.61,122.9,False,18856383.18,730400.0
Suzan DelBene,D,WA,1.0,house,house_ways_and_means,Member,False,1336414,4602,323366,24.2,1795,571079,42.73,1945,0,0.0,0,36600,2.74,47,405369,30.33,815,0,0.0,0,75.8,24.2,290.4,1430,GOOGLE,AMAZON,SANA BIOTECHNOLOGY,CA,131199,MA,38520,DC,35100,8.05,100.83,False,3850571.4,1805850.0
Thom Tillis,R,NC,,senate,senate_finance,Member,False,1347146,2678,0,0.0,0,0,0.0,0,326529,24.24,719,85950,6.38,74,934667,69.38,1885,0,0.0,0,75.76,24.24,503.04,961,BLACKSTONE,METLIFE,WCAS,NY,242066,VA,137560,FL,94684,2.27,102.34,False,2474642.46,1053189.98
Darin LaHood,R,IL,16.0,house,house_ways_and_means,Member,False,836260,1079,206416,24.68,383,258813,30.95,347,0,0.0,0,66459,7.95,64,304572,36.42,285,0,0.0,0,75.32,24.68,775.03,724,BGR,APOLLO GLOBAL,RII,VA,90406,DC,65459,CA,32291,3.84,99.47,False,3753031.58,2139954.83
Thomas Suozzi,D,NY,3.0,house,house_ways_and_means,Member,False,6014193,7428,1508360,25.08,1726,2092674,34.8,2356,0,0.0,0,114987,1.91,178,2298172,38.21,3168,0,0.0,0,74.92,25.08,809.67,3840,PAUL WEISS RIFKIND WHARTON & GARRISON,TEITLER & TEITLER,GEHRY,CA,801089,FL,278313,MA,264091,13.36,101.03,False,9646883.39,1863507.24
Mike Kelly,R,PA,16.0,house,house_ways_and_means,Member,False,541197,600,132082,24.41,172,96378,17.81,89,0,0.0,0,24600,4.55,37,284387,52.55,297,3750,0.69,5,74.9,24.41,902.0,478,THE PARKER FOUNDATION,GREATER PITTSBURGH AUTO DEALERS ASSOCI,O'BRIEN AUTOMOTIVE TEAM,CA,51100,VA,46850,FL,28950,,,,,
Elizabeth Warren,D,MA,,senate,senate_finance,Member,False,4095429,117843,0,0.0,0,0,0.0,0,1050732,25.66,18588,43621,1.07,1338,3001076,73.28,97917,0,0.0,0,74.34,25.66,34.75,14210,MCARTHURGLEN,SOROS FUND,MERITAGE,CA,693229,NY,308809,WA,150143,50.84,99.88,False,9039537.78,59800.0
Lloyd Doggett,D,TX,37.0,house,house_ways_and_means,Member,False,652694,519,169821,26.02,121,430614,65.97,352,0,0.0,0,5865,0.9,10,46394,7.11,36,0,0.0,0,73.98,26.02,1257.6,383,DCP360,BROPHY & DEVANEY,SLACK DAVIS SANGER,ID,10600,VA,7077,IL,6600,1.56,99.94,False,1541302.79,450449.65
Todd Young,R,IN,,senate,senate_finance,Member,False,587065,1460,0,0.0,0,0,0.0,0,154212,26.27,321,14100,2.4,14,418753,71.33,1125,0,0.0,0,73.73,26.27,402.1,546,ANDREESSEN HOROWITZ,SAGESURE,HHQ VENTURES,CA,94077,TX,28760,FL,27223,4.85,101.84,False,1754997.99,330350.0
Jodey Arrington,R,TX,19.0,house,house_ways_and_means,Member,False,555652,530,150954,27.17,176,203547,36.63,168,0,0.0,0,36250,6.52,32,164901,29.68,154,0,0.0,0,72.83,27.17,1048.4,432,GRAIL,INTERSECT POWER,WINGED KEEL,VA,39950,DC,33750,CA,26800,0.49,103.21,False,3269201.47,1566090.7
Mike Carey,R,OH,15.0,house,house_ways_and_means,Member,False,835588,1168,241069,28.85,238,271986,32.55,325,0,0.0,0,49338,5.9,73,273195,32.69,532,0,0.0,0,71.15,28.85,715.4,651,DCI,CAPITOL TAX,LAGOS & LAGOS,VA,99338,DC,45400,MD,23364,2.98,99.75,False,2699201.24,1563750.0
Greg Steube,R,FL,17.0,house,house_ways_and_means,Member,False,415271,1630,120800,29.09,501,115952,27.92,493,0,0.0,0,22600,5.44,43,155919,37.55,593,0,0.0,0,70.91,29.09,254.77,650,STEPHENS,DOUGLAS JEEP CHRYSLER DODGE RAM,CULLINAN PROPERTIES,VA,35187,DC,22600,NY,19717,15.37,100.06,False,1735999.36,749000.0
Don Beyer,D,VA,8.0,house,house_ways_and_means,Member,False,1002034,1766,318717,31.81,926,248351,24.78,473,0,0.0,0,132791,13.25,149,300675,30.01,217,1500,0.15,1,68.04,31.81,567.4,742,PLANET SUBARU,AKIN GUMP STRAUSS HAUER & FELD,MORINO VENTURES,DC,98221,NY,78900,MD,40627,6.36,98.88,False,1948344.81,797590.0
John Thune,R,SD,,senate,senate_finance,Member,False,1103601,1833,0,0.0,0,0,0.0,0,355390,32.2,577,24500,2.22,27,723711,65.58,1229,0,0.0,0,67.8,32.2,602.07,1086,MARQUIS,BLACKSTONE,HDR ENGINEERING,NY,120640,CA,97850,IL,65790,5.74,100.24,False,4163983.31,555700.0
Chuck Grassley,R,IA,,senate,senate_finance,Member,False,246052,3878,0,0.0,0,0,0.0,0,81397,33.08,750,2950,1.2,20,161705,65.72,3108,0,0.0,0,66.92,33.08,63.45,400,BLACKSTONE,ARVIG ENTERPRISES,PECK ENT,TX,22586,NY,18483,CO,18063,,,,,
Ron Estes,R,KS,4.0,house,house_ways_and_means,Member,False,396434,400,134267,33.87,120,78316,19.76,85,0,0.0,0,21800,5.5,27,162051,40.88,168,0,0.0,0,66.13,33.87,991.08,288,CAPITOL TAX,TRANSYSTEMS,ASH BROKERAGE,VA,24750,NY,21300,DC,20800,0.75,101.86,False,2287999.66,1326524.13
Beth Van Duyne,R,TX,24.0,house,house_ways_and_means,Member,False,809335,2314,281165,34.74,1005,174093,21.51,609,0,0.0,0,27577,3.41,60,326500,40.34,640,0,0.0,0,65.26,34.74,349.76,836,BLACKSTONE,CITADEL,SEAN N PARKER FOUNDATION,VA,79191,CA,30748,NY,30513,,,,,
James Lankford,R,OK,,senate,senate_finance,Member,False,358403,519,0,0.0,0,0,0.0,0,125865,35.12,239,12750,3.56,22,219788,61.32,258,0,0.0,0,64.88,35.12,690.56,270,APOLLO GLOBAL,APOLLO,CAROLYN ROWAN COLLECTION,CA,62375,TX,39347,VA,31500,4.38,102.28,False,913857.67,351050.0
Judy Chu,D,CA,28.0,house,house_ways_and_means,Member,False,1127907,1055,404696,35.88,339,572229,50.73,536,0,0.0,0,9650,0.86,18,141332,12.53,162,0,0.0,0,64.12,35.88,1069.11,660,EDI MEDIA,APEX GLOBAL GROUPS,SEVILLE CLASSICS,TX,36602,MD,22100,VA,13905,3.18,100.08,False,1915612.32,721700.0
Roger Marshall,R,KS,,senate,senate_finance,Member,False,394318,808,0,0.0,0,0,0.0,0,143443,36.38,360,21050,5.34,26,229825,58.28,422,0,0.0,0,63.62,36.38,488.02,245,PYRAMID SOUND,PLEXUS CAPITAL,ECCO SELECT,NY,54900,VA,33332,TN,23200,,,,,
Mark Warner,D,VA,,senate,senate_finance,Member,False,1960339,9706,0,0.0,0,0,0.0,0,733787,37.43,7457,154470,7.88,1098,1070082,54.59,1149,2000,0.1,2,62.47,37.43,201.97,1687,CAPITAL,BLACKROCK,APOLLO GLOBAL,NY,410270,CA,164927,FL,122070,6.18,99.05,False,4266868.81,710700.0
Maria Cantwell,D,WA,,senate,senate_finance,Member,False,9051589,19882,0,0.0,0,0,0.0,0,3471654,38.35,13054,447354,4.94,410,5132581,56.7,6418,0,0.0,0,61.65,38.35,455.27,7823,ROYAL CARIBBEAN,DELTA AIR LINES,UNITED AIRLINES,CA,1248034,NY,672736,TX,490643,10.05,100.42,False,11147595.82,76800.0
Ron Wyden,D,OR,,senate,senate_finance,Ranking Member,False,397302,3252,0,0.0,0,0,0.0,0,151416,38.11,2683,20150,5.07,40,222836,56.09,528,2900,0.73,1,61.16,38.11,122.17,575,ARNOLD VENTURES,ROCKET CENTRAL,ANDREESSEN HOROWITZ,CA,38372,MI,23700,WA,20433,17.77,101.11,False,1533627.54,309350.0
Marsha Blackburn,R,TN,,senate,senate_finance,Member,False,3401229,19046,0,0.0,0,0,0.0,0,1327066,39.02,4763,138516,4.07,212,1930647,56.76,14068,5000,0.15,3,60.84,39.02,178.58,7835,RDV,DAVITA,APOLLO,FL,254280,VA,203590,NY,128240,4.41,103.83,False,13571274.34,2143308.88
Greg Murphy,R,NC,3.0,house,house_ways_and_means,Member,False,907043,1016,358365,39.51,459,298349,32.89,289,0,0.0,0,17750,1.96,30,232579,25.64,238,0,0.0,0,60.49,39.51,892.76,659,ALG SENIOR,UROLOGY OF NORTH TEXAS,OCEANS HEALTHCARE,VA,52150,TX,40800,FL,36226,1.48,105.91,False,1939613.96,872700.0
Blake Moore,R,UT,1.0,house,house_ways_and_means,Member,False,925538,712,360099,38.91,195,136200,14.72,89,0,0.0,0,29700,3.21,36,387439,41.86,382,12100,1.31,10,59.79,38.91,1299.91,521,DOTERRA,APERCEN,ES3,VA,69025,CA,40912,NY,38950,0.17,97.66,False,2633423.21,1467000.0
Mike Thompson,D,CA,4.0,house,house_ways_and_means,Member,False,803374,1672,323767,40.3,856,325344,40.5,657,0,0.0,0,25509,3.18,40,128754,16.03,119,0,0.0,0,59.7,40.3,480.49,875,TRINCHERO FAMILY ESTATES,NORTHWESTERN MUTUAL,PISCES,DC,25509,TX,24451,VA,18700,4.14,101.19,False,2434299.38,1493286.0
David Schweikert,R,AZ,1.0,house,house_ways_and_means,Member,False,1648703,1815,739512,44.85,667,120094,7.28,117,0,0.0,0,52550,3.19,71,722897,43.85,949,13650,0.83,11,54.32,44.85,908.38,941,VETERANS GUARDIANS,CAPITOL COUNSEL,OPTIMA FINANCIAL,CA,122950,VA,110065,TX,81341,2.89,101.05,False,4213494.89,1568134.77
Aaron Bean,R,FL,4.0,house,house_ways_and_means,Member,False,618152,483,282863,45.76,186,200555,32.44,159,0,0.0,0,23500,3.8,37,111234,17.99,101,0,0.0,0,54.24,45.76,1279.82,370,APOLLO GLOBAL,THE MAYERNICK,RETTNER,NY,30100,IL,23600,DC,23500,0.45,86.77,False,1738170.86,898500.0
Brad Schneider,D,IL,10.0,house,house_ways_and_means,Member,False,2044077,5155,936978,45.84,2697,334658,16.37,664,0,0.0,0,38746,1.9,75,733599,35.89,1711,96,0.0,8,54.16,45.84,396.52,1640,PARAGON BIOSCIENCES,GREENBERG TRAURIG,BLACKSTONE,CA,162952,NY,117019,FL,115195,5.2,100.08,False,3855356.96,1597101.07
Dwight Evans,D,PA,3.0,house,house_ways_and_means,Member,False,288875,495,137050,47.44,248,127415,44.11,208,0,0.0,0,6000,2.08,10,18410,6.37,29,0,0.0,0,52.56,47.44,583.59,229,PROGRESSIVE,SELECT MEDICAL,METRO PHILLY,VA,7500,DC,6000,NJ,5010,2.47,98.14,False,976087.83,657156.17
Tina Smith,D,MN,,senate,senate_finance,Member,False,775863,11452,0,0.0,0,0,0.0,0,368149,47.45,8062,32980,4.25,52,374734,48.3,3338,0,0.0,0,52.55,47.45,67.75,1850,CAPITAL,LINKEDIN,ROCKET COMPANIES,CA,96741,DC,32830,FL,32606,25.34,100.83,False,1464674.23,303750.0
David Kustoff,R,TN,8.0,house,house_ways_and_means,Member,False,1032448,824,567257,54.94,445,202300,19.59,128,0,0.0,0,37000,3.58,33,225891,21.88,218,0,0.0,0,45.06,54.94,1252.97,638,BLACKSTONE,APOLLO GLOBAL,UROLOGY OF INDIANA,NY,40900,VA,38200,DC,37000,0.43,98.12,False,2498788.64,1116370.42
Michael Bennet,D,CO,,senate,senate_finance,Member,False,502934,8183,0,0.0,0,0,0.0,0,278632,55.4,5342,9215,1.83,42,215087,42.77,2799,0,0.0,0,44.6,55.4,61.46,930,PISCES,1ST FINANCIAL,JANE STREET,CA,69251,NY,42116,TX,13915,33.69,90.14,False,1181527.92,58596.92
John Larson,D,CT,1.0,house,house_ways_and_means,Member,False,428855,699,242090,56.45,410,99730,23.25,192,0,0.0,0,12585,2.93,28,74450,17.36,69,0,0.0,0,43.55,56.45,613.53,407,SEAN N PARKER FOUNDATION,BLUE OWL CAPITAL,NOT APPLICABLE,NY,22600,CA,14700,DC,12085,3.81,101.5,False,1542287.58,1044213.68
Nathaniel Moran,R,TX,1.0,house,house_ways_and_means,Member,False,304802,272,193128,63.36,146,55850,18.32,56,0,0.0,0,8750,2.87,15,37775,12.39,50,9299,3.05,5,33.59,63.36,1120.6,209,RYAN,HUNT CONSOLIDATED,MYB GOUSTON,FL,14275,DC,8750,VA,7000,2.58,103.2,False,1084376.71,355200.0
John Cornyn,R,TX,,senate,senate_finance,Member,False,1193195,5968,0,0.0,0,0,0.0,0,831625,69.7,4219,26500,2.22,19,335070,28.08,1730,0,0.0,0,30.3,69.7,199.93,1123,CAPITAL,ANDREESSEN HOROWITZ,BLACKSTONE,CA,84313,NY,37795,FL,36210,2.21,99.78,False,3377426.45,595022.42
