zip5,state,district,is_split,is_dc
36017,AL,2,False,False
36020,AL,6,False,False
36022,AL,6,False,False
36024,AL,6,False,False
36025,AL,6,False,False
36026,AL,6,False,False
36029,AL,2,False,False
36030,AL,2,False,False
36031,AL,2,False,False
36033,AL,2,False,False
36035,AL,2,False,False
36036,AL,2,False,False
36037,AL,2,False,False
36038,AL,1,False,False
36039,AL,2,False,False
36040,AL,7,False,False
36041,AL,2,False,False
36042,AL,2,False,False
36046,AL,2,False,False
36048,AL,2,False,False
36049,AL,2,False,False
36051,AL,6,False,False
36052,AL,2,False,False
36053,AL,2,False,False
36057,AL,2,False,False
36064,AL,2,False,False
36066,AL,6,False,False
36067,AL,6,False,False
36069,AL,2,False,False
36071,AL,2,False,False
36075,AL,2,False,False
36080,AL,6,False,False
36081,AL,2,False,False
36082,AL,2,False,False
36083,AL,2,False,False
36088,AL,2,False,False
36089,AL,2,False,False
36091,AL,6,False,False
36092,AL,6,False,False
36093,AL,6,False,False
36101,AL,2,False,False
36104,AL,2,False,False
36105,AL,2,False,False
36106,AL,2,False,False
36107,AL,2,False,False
36108,AL,2,False,False
36109,AL,2,False,False
36110,AL,2,False,False
36111,AL,2,False,False
36112,AL,2,False,False
36113,AL,2,False,False
36114,AL,2,False,False
36115,AL,2,False,False
36116,AL,2,False,False
36117,AL,2,False,False
36130,AL,2,False,False
36201,AL,3,False,False
36203,AL,3,False,False
36205,AL,3,False,False
36206,AL,3,False,False
36207,AL,3,False,False
36250,AL,3,False,False
36251,AL,3,False,False
36255,AL,3,False,False
36256,AL,3,False,False
36258,AL,3,False,False
36260,AL,3,False,False
36262,AL,3,False,False
36263,AL,3,False,False
36264,AL,3,False,False
36265,AL,3,False,False
36266,AL,3,False,False
36267,AL,3,False,False
36268,AL,3,False,False
36269,AL,3,False,False
36271,AL,3,False,False
36272,AL,3,False,False
36273,AL,3,False,False
36274,AL,3,False,False
36276,AL,3,False,False
36277,AL,3,False,False
36278,AL,3,False,False
36279,AL,3,False,False
36280,AL,3,False,False
36301,AL,1,False,False
36303,AL,1,False,False
36305,AL,1,False,False
36310,AL,1,False,False
36312,AL,1,False,False
36313,AL,1,False,False
36314,AL,1,False,False
36316,AL,1,False,False
36318,AL,1,False,False
36319,AL,1,False,False
36320,AL,1,False,False
36321,AL,1,False,False
36322,AL,1,False,False
36323,AL,1,False,False
36330,AL,1,False,False
36340,AL,1,False,False
36343,AL,1,False,False
36344,AL,1,False,False
36345,AL,1,False,False
36346,AL,1,False,False
36350,AL,1,False,False
36351,AL,1,False,False
36352,AL,1,False,False
36353,AL,1,False,False
36360,AL,1,False,False
36362,AL,1,False,False
36370,AL,1,False,False
36371,AL,1,False,False
36373,AL,1,False,False
36375,AL,1,False,False
36376,AL,1,False,False
36420,AL,1,False,False
36425,AL,2,False,False
36435,AL,7,False,False
36439,AL,2,False,False
36441,AL,1,False,False
36442,AL,1,False,False
36444,AL,2,False,False
36445,AL,2,False,False
36453,AL,1,False,False
36454,AL,2,False,False
36455,AL,1,False,False
36460,AL,2,False,False
36467,AL,1,False,False
36470,AL,2,False,False
36471,AL,2,False,False
36473,AL,2,False,False
36475,AL,2,False,False
36476,AL,1,False,False
36477,AL,1,False,False
36480,AL,2,False,False
36481,AL,2,False,False
36483,AL,1,False,False
36503,AL,1,False,False
36507,AL,1,False,False
36509,AL,1,False,False
36511,AL,1,False,False
36518,AL,2,False,False
36523,AL,1,False,False
36524,AL,7,False,False
36526,AL,1,False,False
36527,AL,1,False,False
36528,AL,1,False,False
36529,AL,2,False,False
36530,AL,1,False,False
36532,AL,1,False,False
36535,AL,1,False,False
36538,AL,2,False,False
36539,AL,2,False,False
36541,AL,1,False,False
36542,AL,1,False,False
36543,AL,1,False,False
36544,AL,1,False,False
36547,AL,1,False,False
36548,AL,2,False,False
36549,AL,1,False,False
36550,AL,1,False,False
36551,AL,1,False,False
36553,AL,2,False,False
36555,AL,1,False,False
36556,AL,2,False,False
36559,AL,1,False,False
36561,AL,1,False,False
36562,AL,1,False,False
36564,AL,1,False,False
36567,AL,1,False,False
36568,AL,1,False,False
36569,AL,2,False,False
36572,AL,1,False,False
36574,AL,1,False,False
36576,AL,1,False,False
36578,AL,1,False,False
36579,AL,1,False,False
36580,AL,1,False,False
36581,AL,2,False,False
36583,AL,2,False,False
36584,AL,2,False,False
36585,AL,2,False,False
36604,AL,2,False,False
36606,AL,2,False,False
36607,AL,2,False,False
36609,AL,2,False,False
36612,AL,2,False,False
36617,AL,2,False,False
36618,AL,2,False,False
36652,AL,2,False,False
36663,AL,2,False,False
36688,AL,2,False,False
36701,AL,7,False,False
36720,AL,7,False,False
36722,AL,7,False,False
36723,AL,7,False,False
36727,AL,7,False,False
36728,AL,7,False,False
36732,AL,7,False,False
36736,AL,7,False,False
36738,AL,7,False,False
36740,AL,7,False,False
36741,AL,7,False,False
36742,AL,7,False,False
36744,AL,7,False,False
36748,AL,7,False,False
36750,AL,6,False,False
36752,AL,7,False,False
36753,AL,7,False,False
36754,AL,7,False,False
36756,AL,7,False,False
36759,AL,7,False,False
36761,AL,7,False,False
36763,AL,7,False,False
36764,AL,7,False,False
36765,AL,7,False,False
36766,AL,7,False,False
36767,AL,7,False,False
36769,AL,7,False,False
36773,AL,7,False,False
36775,AL,7,False,False
36776,AL,7,False,False
36782,AL,7,False,False
36783,AL,7,False,False
36785,AL,7,False,False
36786,AL,7,False,False
36790,AL,6,False,False
36792,AL,6,False,False
36801,AL,3,False,False
36849,AL,3,False,False
36850,AL,3,False,False
36851,AL,2,False,False
36852,AL,3,False,False
36853,AL,3,False,False
36854,AL,3,False,False
36855,AL,3,False,False
36856,AL,2,False,False
36858,AL,2,False,False
36860,AL,2,False,False
36861,AL,3,False,False
36862,AL,3,False,False
36863,AL,3,False,False
36865,AL,3,False,False
36869,AL,2,False,False
36871,AL,2,False,False
36875,AL,2,False,False
36879,AL,3,False,False
36901,AL,7,False,False
36904,AL,7,False,False
36907,AL,7,False,False
36908,AL,7,False,False
36910,AL,7,False,False
36912,AL,7,False,False
36913,AL,7,False,False
36915,AL,7,False,False
36916,AL,7,False,False
36921,AL,7,False,False
36922,AL,7,False,False
36925,AL,7,False,False
99501,AK,0,False,False
99502,AK,0,False,False
99503,AK,0,False,False
99504,AK,0,False,False
99505,AK,0,False,False
99506,AK,0,False,False
99507,AK,0,False,False
99508,AK,0,False,False
99513,AK,0,False,False
99515,AK,0,False,False
99516,AK,0,False,False
99517,AK,0,False,False
99518,AK,0,False,False
99519,AK,0,False,False
99530,AK,0,False,False
99540,AK,0,False,False
99546,AK,0,False,False
99547,AK,0,False,False
99548,AK,0,False,False
99549,AK,0,False,False
99550,AK,0,False,False
99551,AK,0,False,False
99552,AK,0,False,False
99553,AK,0,False,False
99554,AK,0,False,False
99555,AK,0,False,False
99556,AK,0,False,False
99557,AK,0,False,False
99558,AK,0,False,False
99559,AK,0,False,False
99561,AK,0,False,False
99563,AK,0,False,False
99564,AK,0,False,False
99565,AK,0,False,False
99566,AK,0,False,False
99567,AK,0,False,False
